,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt
9914296,9914296,house,house,160000,forsale,6010,m,installed,,,gas,246,3,330,,true,50,true,,,1,,
9914349,9914349,house,house,265000,forsale,8690,m,,,tobedoneup,fueloil,922,3,445,,true,,true,,,1,,
9914350,9914350,house,house,noprice,forsale,8755,m,,1971,good,gas,403,4,171,,,,,,,,,
9914357,9914357,house,villa,339500,forsale,4910,l,,,good,pellet,194,4,1751,,,,,,,,,
9914360,9914360,house,house,noprice,forsale,7120,xl,installed,,good,fueloil,277,4,1000,,,,true,,,,1,
9914370,9914370,house,house,335000,forsale,8540,m,,,good,gas,,2,390,,,,,,,,,
9914405,9914405,house,house,195000,forsale,7062,m,installed,,good,gas,311,2,201,,true,,,,,1,,
9914424,9914424,house,house,409000,forsale,1070,l,,,,,406,4,70,,,,,,,,,
9914428,9914428,house,house,noprice,forsale,1850,xl,installed,1951,good,gas,375,4,291,,,,true,,,,,
9914437,9914437,house,house,noprice,forsale,6700,l,installed,2008,good,gas,90,4,500,,,,true,,,1,,
9914444,9914444,house,exceptionalproperty,590000,forsale,1400,xl,,1890,,,395,6,492,,true,220,,,,1,,
9914448,9914448,house,house,209000,forsale,4420,m,semiequipped,1918,torenovate,gas,513,5,166,,true,,,true,,4,,
9914471,9914471,house,house,520000,forsale,2000,m,semiequipped,,torenovate,gas,437,5,65,,true,,,,,,,
9914465,9914465,house,mixedusebuilding,199000,forsale,4160,xl,semiequipped,,good,fueloil,467,3,368,,true,,true,,,3,,
9914475,9914475,house,house,75000,forsale,6001,m,,,torenovate,,950,3,200,true,true,,,,,,,
9914459,9914459,house,house,noprice,forsale,9900,xl,,1980,good,gas,251,3,110,,,,true,,,,,
9914477,9914477,house,villa,349000,forsale,5310,l,,2021,,gas,117,4,700,,,,true,,,,2,
9914483,9914483,house,apartmentblock,750000,forsale,2860,xl,semiequipped,1987,good,gas,195,6,730,,true,,true,true,,12,,
9914491,9914491,house,house,noprice,forsale,4140,m,usahyperequipped,,,pellet,526,4,1630,,true,,true,,,,3,
9914496,9914496,house,apartmentblock,835000,forsale,4671,l,installed,,,gas,,8,529,,,,true,,,4,,
9914513,9914513,house,house,noprice,forsale,6032,m,hyperequipped,,justrenovated,gas,,3,200,,true,,true,,,,,
9914503,9914503,house,house,noprice,forsale,4621,l,installed,,,gas,340,3,350,,,,,,,1,,
9914528,9914528,house,house,189000,forsale,9660,m,semiequipped,,good,gas,497,3,423,,,280,true,,,1,,
9914600,9914600,house,house,305000,forsale,4357,m,,2022,asnew,,,3,432,,true,,true,,,1,2,1
9914542,9914542,house,villa,1950000,forsale,1180,xl,usainstalled,1920,good,,525,9,1500,true,true,,true,true,,6,6,
9914534,9914534,house,house,1300000,forsale,2018,l,hyperequipped,,good,gas,211,4,280,,,142,true,,,2,,
9914668,9914668,house,mansion,370500,forsale,02600,m,,,,,326,5,4300,,,,,,,,,
9914678,9914678,house,house,251406,forsale,4530,l,,,,,,4,771,,,,,,,,,1
9914649,9914649,house,house,169000,forsale,4000,m,installed,1950,tobedoneup,gas,48356,2,7,,true,,,,,,,
9914605,9914605,house,villa,1395000,forsale,3080,xl,installed,1979,good,fueloil,330,5,1500,,true,,,true,,,3,
9914708,9914708,house,house,465000,forsale,1030,l,installed,1932,torenovate,gas,440,5,135,true,true,29,true,,,,,
9914694,9914694,house,house,169000,forsale,7300,xl,installed,,good,gas,229,3,120,,true,73,true,,,,,
9914709,9914709,house,house,295000,forsale,4020,l,installed,,good,gas,312,2,0,,true,,true,,,,,
9914777,9914777,house,house,360000,forsale,5340,xl,,1967,justrenovated,,,3,2000,,,,,,,,,
9914785,9914785,house,house,noprice,forsale,2100,m,,,good,gas,231,5,207,,true,,true,,,,,
9914763,9914763,house,villa,349900,forsale,6230,xl,installed,1976,tobedoneup,gas,574,3,1857,,true,1700,true,,,1,2,
9914794,9914794,house,house,305000,forsale,8820,m,,2022,,gas,,4,201,,,,,,,1,,
9914840,9914840,house,apartmentblock,695000,forsale,3980,m,installed,1999,good,,174,0,280,,,,true,,,1,,
9914836,9914836,house,house,noprice,forsale,2430,m,installed,1956,,gas,264,3,1445,,,,true,true,,2,4,
9914845,9914845,house,apartmentblock,780000,forsale,3980,m,installed,1987,,gas,145,0,218,,,,true,,,,,
9914842,9914842,house,house,noprice,forsale,3290,m,installed,1973,good,gas,286,3,784,,,,true,true,,2,5,
9914855,9914855,house,house,noprice,forrent,3980,m,installed,,good,gas,294,3,0,,,,true,true,,1,2,
9914849,9914849,house,house,noprice,forsale,3980,m,installed,1975,good,gas,404,3,817,,,,true,true,,2,5,
9914853,9914853,house,house,noprice,forsale,3980,m,installed,1965,,gas,428,3,307,,,,true,true,,,3,
9914857,9914857,house,house,noprice,forsale,2430,m,usahyperequipped,1956,good,gas,801,3,1323,,,,,true,,2,3,
9914884,9914884,house,villa,492500,forsale,8980,m,,1973,good,fueloil,311,4,1180,,true,,,,,1,,
9914864,9914864,house,house,noprice,forsale,3290,m,installed,1960,good,gas,539,3,4052,,,,true,true,,2,6,
9914887,9914887,house,house,299000,forsale,5020,xl,,2022,asnew,,,3,400,true,,300,,,,1,2,1
