,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
10149197,10149197,house,house,220000,forsale,7170,l,,,,fueloil,241,3,211,,,,,,,1,,,Hainaut,,2,1,,3,1,,,,241 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,"€ 220,000220000 €",,,Cour Mondez 1 6210- Les Bons Villers,,,Hainaut,Immediately,,,,,"Living area (residential, urban or rural)",,17m²square meters,,14m²square meters,13m²square meters,13m²square meters,,1,,No,211m²square meters,,Connected,Yes,,,,,Yes,,Fuel oil,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAMIMAX,,,,,,,,,,,,,,,,,,,,,
10160779,10160779,house,house,108000,forsale,7012,l,semiequipped,,good,gas,393,2,0,,,1,,,,,,,Hainaut,Good,2,,,2,,,1m²square meter,,393 kWh/m²kilowatt hour per square meters,E,20140115008690,72 kg CO₂/m²,Not specified,"€ 108,000108000 €",€ 300300 €,No,,,,Hainaut,To be defined,,,,,,,,Semi equipped,,,,1,,,,,,Connected,Yes,,,,,,,Gas,No,Non flood zone,,,,,,,,,,,,,No,,,,,No,Yes,No,,,,No,No,No,No,No,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102308,10102308,house,house,79000,forsale,7640,l,,,torenovate,fueloil,527,2,125,true,true,,true,,,,,,Hainaut,To renovate,2,,Yes,2,1,Yes,,Yes,527 kWh/m²kilowatt hour per square meters,G,20220422006232,131 kg CO₂/m²,Not specified,"€ 79,00079000 €",,,Grand Place 27 7500- Tournai,http://www.dupontimmo.be,,Hainaut,After signing the deed,,,5.5 m,,,102m²square meters,,,,,,,3,Yes,No,125m²square meters,5.5 mmeters,Connected,No,,,,,,,Fuel oil,,,,,,Yes,North East,,Yes,,,,,,,,,,,,,,,,,,,,,,North East,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10135232,10135232,house,house,160000,forsale,7141,l,,,good,fueloil,,3,0,,true,,true,,,,,,Hainaut,Good,3,,,3,1,Yes,,,Not specified,E,20220930016225,Not specified,Not specified,"€ 160,000160000 €",€ 359359 €,No,,,,Hainaut,Immediately,,,,,,115m²square meters,17m²square meters,,19m²square meters,18m²square meters,12m²square meters,1,1,,,,,Connected,No,17m²square meters,,,,,,Fuel oil,Yes,Non flood zone,,,20m²square meters,,,,Yes,,,,,,No,,,,,No,,No,,,,No,No,No,No,No,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
9961692,9961692,house,house,165000,forsale,6141,l,installed,,justrenovated,gas,,2,0,,true,,true,true,,,1,,Hainaut,Just renovated,2,,Yes,2,1,Yes,,,Not specified,G,Not specified,Not specified,Not specified,"€ 165,000165000 €",,No,,,,Hainaut,Immediately,,,,1,,98m²square meters,,Installed,16m²square meters,16m²square meters,,1,1,,,,,Connected,Yes,50m²square meters,No,No,No,Yes,No,Gas,Yes,,,,20m²square meters,,,,,,,,,16m²square meters,Yes,No,,,,No,Yes,Yes,,,,No,No,No,No,No,South,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
9880724,9880724,house,house,225000,forsale,6210,l,installed,,asnew,gas,344,3,0,true,true,,true,true,,,,,Hainaut,As new,2,,,3,1,Yes,,Yes,344 kWh/m²kilowatt hour per square meters,E,20220422002880,63 kg CO₂/m²,52721 kWh/year,"Make an offer starting from€ 225,000Make an offer starting from225000 €",,No,"90, rue Jules Destrée 6183- Trazegnies",http://www.strazzerimmo.be,4739238,Hainaut,After signing the deed,,,,,Urban,153m²square meters,41m²square meters,Installed,9m²square meters,16m²square meters,16m²square meters,,,Yes,No,,,,Yes,,No,No,,Yes,No,Gas,Yes,,,,,,,,,,,,,12m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10059812,10059812,house,house,250000,forsale,6000,l,installed,1950,,fueloil,298,3,537,,true,,true,true,,1,,,Hainaut,,2,1,,3,,Yes,,,298 kWh/m²kilowatt hour per square meters,D,20220719008832,74 kg CO₂/m²,86673 kWh/year,"€ 250,000250000 €",,No,Av. des Combattants 166 1470- Bousval,http://www.newtendances.be,1612-1,Hainaut,,,1950,,,,200m²square meters,30m²square meters,Installed,,,,1,2,,No,537m²square meters,1 mmeter,Connected,,60m²square meters,,,,,,Fuel oil,Yes,,,1,1m²square meter,,,No,,,,,,3m²square meters,Yes,,,,,,Yes,,,,,,,,,Yes,,,,,,,,No,No,No,,,,,,,,,,,Nathalie FRAIPONT,,,,,,,,,,,,,,,,,,,,,
10091233,10091233,house,mixedusebuilding,250000,forsale,7012,l,installed,,,gas,,3,450,,,1,true,,,,,,Hainaut,,3,,,3,1,,1m²square meter,,Not specified,E,Not specified,Not specified,Not specified,"€ 250,000250000 €","€ 1,1501150 €",Yes,,,,Hainaut,,,,,,,,,Installed,,,,,3,,,450m²square meters,,Connected,Yes,1m²square meter,No,No,Yes,Yes,No,Gas,Yes,,,,,,,,,,,,,,No,No,,,,No,,No,,,,No,No,No,Yes,Yes,,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
9750398,9750398,house,house,325000,forsale,6043,l,installed,,,gas,860,4,870,,true,530,true,,true,1,,,Hainaut,,3,1,,4,1,Yes,530m²square meters,,860 kWh/m²kilowatt hour per square meters,G,: 20170413014275,Not specified,Not specified,"€ 325,000325000 €",€ 441441 €,No,Chaussée de Waterloo 747 1180- Uccle,http://www.century21bascule.be,VB2202,Hainaut,,,,,,"Living area (residential, urban or rural)",171m²square meters,45m²square meters,Installed,,,,,1,,No,870m²square meters,,,,31m²square meters,,,Yes,,Yes,Gas,Yes,,,,,,South East,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10133439,10133439,house,mansion,325000,forsale,6000,l,,,good,fueloil,531,4,755,,,,,true,,,,,Hainaut,Good,4,,,4,1,,,,531 kWh/m²kilowatt hour per square meters,G,20220907019605,131 kg CO₂/m²,170113 kWh/year,"Make an offer starting from€ 325,000Make an offer starting from325000 €",,No,Route de Gozée 651/1 6110- Montigny-le-Tilleul,http://www.etimo.be,4958031,Hainaut,After signing the deed,,,,,Isolated,200m²square meters,18m²square meters,,8m²square meters,12m²square meters,15m²square meters,,,,,755m²square meters,,Connected,Yes,,,,,Yes,,Fuel oil,,,,,15m²square meters,,,,Yes,,,,,9m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10109565,10109565,house,mansion,325000,forsale,6180,l,,,good,fueloil,531,4,755,,,,,true,,,,,Hainaut,Good,4,,,4,1,,,,531 kWh/m²kilowatt hour per square meters,G,20220907019605,131 kg CO₂/m²,170113 kWh/year,"Make an offer starting from€ 325,000Make an offer starting from325000 €",,No,Route de Gozée 651/1 6110- Montigny-le-Tilleul,http://www.etimo.be,4905765,Hainaut,After signing the deed,,,,,Isolated,200m²square meters,18m²square meters,,8m²square meters,12m²square meters,15m²square meters,,,,,755m²square meters,,Connected,Yes,,,,,Yes,,Fuel oil,,,,,15m²square meters,,,,Yes,,,,,9m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10102842,10102842,house,house,295000,forsale,7033,l,installed,,good,gas,,5,563,true,true,400,true,true,,3,,,Hainaut,Good,3,3,,5,1,Yes,400m²square meters,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 295,000295000 €","€ 1,2071207 €",No,,,,Hainaut,After signing the deed,,,12560 m,,"Living area (residential, urban or rural)",,17m²square meters,Installed,23m²square meters,18m²square meters,12m²square meters,,2,Yes,,563m²square meters,,Connected,Yes,40m²square meters,No,No,No,No,No,Gas,Yes,Non flood zone,,,18m²square meters,,,,Yes,13500m²square meters,,Yes,,13m²square meters,Yes,No,,,15m²square meters,No,Yes,Yes,,,Yes,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10074174,10074174,house,countrycottage,350000,forsale,7080,l,installed,,asnew,fueloil,,3,3837,true,true,3837,,true,,1,1,,Hainaut,As new,4,1,,3,1,Yes,3837m²square meters,,Not specified,Not specified,2159E0875139M,Not specified,Not specified,"€ 350,000350000 €",,No,Rue Joseph Dufrane 12 7080- Frameries,,4892605,Hainaut,To be defined,,,,1,,150m²square meters,49m²square meters,Installed,21m²square meters,13m²square meters,13m²square meters,1,1,,,3837m²square meters,,Not connected,Yes,,,,,,,Fuel oil,Yes,,,,16m²square meters,,,,,,,,,7m²square meters,Yes,,,,,,,,,26m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9971006,9971006,house,house,380000,forsale,6240,l,semiequipped,,good,gas,340,6,540,,,371,true,,,1,,,Hainaut,Good,2,1,,6,4,,371m²square meters,Yes,340 kWh/m²kilowatt hour per square meters,D,20220513024097,14 kg CO₂/m²,16797 kWh/year,"Make an offer starting from€ 380,000Make an offer starting from380000 €","€ 1,2481248 €",No,Rue de la Croix 16 6042- Charleroi,,4788104,Hainaut,After signing the deed,,,,,Urban,280m²square meters,,Semi equipped,8m²square meters,9m²square meters,14m²square meters,3,4,,Yes,540m²square meters,,,Yes,,,,,,,Gas,,,,,,,,,,10m²square meters,,,,,,,,,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,Hainaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9985964,9985964,house,villa,350000,forsale,6141,l,installed,,asnew,gas,,3,20,true,true,,true,,,1,3,,Hainaut,As new,4,1,,3,2,Yes,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 350,000350000 €",,No,Rue des Brasseurs 7 6200- CHATELET,http://www.lessentielimmobilier.be,4807850,Hainaut,After signing the deed,,,,3,Isolated,160m²square meters,35m²square meters,Installed,14m²square meters,16m²square meters,12m²square meters,2,2,Yes,No,20m²square meters,,Connected,Yes,20m²square meters,No,No,,Yes,No,Gas,Yes,,,,14m²square meters,,,,,,,,,,,,160m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016665,10016665,house,house,330000,forsale,7034,l,hyperequipped,,good,gas,,3,1344,,,250,,,,,,,Hainaut,Good,4,,,3,1,,250m²square meters,,Not specified,D,20190121017212,Not specified,269 kWh/year,"€ 330,000330000 €",,No,,,,Hainaut,After signing the deed,,,10 m,,,226m²square meters,16m²square meters,Hyper equipped,10m²square meters,10m²square meters,32m²square meters,1,1,,,1344m²square meters,13 mmeters,,Yes,,No,No,Yes,Yes,No,Gas,Yes,Non flood zone,,,40m²square meters,,South,,Yes,,,,,,No,No,,,,Yes,Yes,No,,,,No,Yes,No,Yes,No,,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10063751,10063751,house,house,485000,forsale,7520,l,,1967,,fueloil,638,4,2690,,true,,,,,1,,,Hainaut,,4,1,,4,2,Yes,,,638 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,171745 kWh/year,"€ 485,000485000 €",,No,Avenue de Maire 202 7500- Tournai,http://www.henro-immo.be,3532 - V3678,Hainaut,After signing the deed,,1967,,,,,,,,,,,,,No,2690m²square meters,,,,,,,Yes,,,Fuel oil,,,,1,,,,No,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10141933,10141933,house,house,75000,forsale,6041,l,,,torenovate,gas,683,5,212,,,,,,,,,,Hainaut,To renovate,2,,Yes,5,1,,,,683 kWh/m²kilowatt hour per square meters,G,20220312002594,Not specified,203307 kWh/year,"Make an offer starting from€ 75,000Make an offer starting from75000 €",€ 803803 €,No,"Rue des Déportés, 2B 6041- Gosselies",,,Hainaut,After signing the deed,,,,,,,,,,,,,1,,,212m²square meters,,Connected,,,,,,Yes,,Gas,,,Link to the virtual visit,,,,,,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,No,,,Alison Es,,,,,,,,,,,,,,,,,,,,,
10144352,10144352,house,mixedusebuilding,175000,forsale,7141,l,,,,,,0,1191,,,,,,,,,,Hainaut,,4,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 175,000175000 €",,Yes,Rue Charles Dupret 13 6000- Charleroi,http://www.immotoma.be,19427 - 6618,Hainaut,After signing the deed,,,,,,,,,,,,,,,,1191m²square meters,,,,,,,,,,,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153129,10153129,house,house,139000,forsale,6200,l,semiequipped,,tobedoneup,gas,414,3,183,true,true,,true,,,,,,Hainaut,To be done up,2,,,3,1,Yes,,Yes,414 kWh/m²kilowatt hour per square meters,E,20220927013228,Not specified,39177 kWh/year,"€ 139,000139000 €",€ 594594 €,No,"Avenue du Centenaire, 56 6061- Montignies-sur-Sambre",http://www.immocontact.be,4967259,Hainaut,,,,,,,160m²square meters,,Semi equipped,,,,,2,Yes,No,183m²square meters,,Connected,Yes,,,,,,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10010350,10010350,house,villa,650000,forsale,7860,l,installed,1953,good,gas,,3,10000,true,,50,true,,,1,3,,Hainaut,Good,4,1,Yes,3,1,,50m²square meters,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 650,000650000 €",,No,,,,Hainaut,After signing the deed,,1953,,3,,350m²square meters,,Installed,18m²square meters,9m²square meters,18m²square meters,,2,Yes,,10000m²square meters,,Connected,Yes,50m²square meters,,,,,,Gas,Yes,Non flood zone,,,10m²square meters,,South,,Yes,,,,,,No,,,,,No,,No,,,,No,Yes,Yes,Yes,Yes,South,,,,,,,No,No,No,No,,,,,,36m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10148651,10148651,house,house,185000,forsale,6000,l,installed,,good,,236,2,0,true,true,,true,,,1,,,Hainaut,Good,3,1,,2,1,Yes,,Yes,236 kWh/m²kilowatt hour per square meters,C,20220929025587,Not specified,59862 kWh/year,"Make an offer starting from€ 185,000Make an offer starting from185000 €",,No,Rue de Beaumont 53 6030- Marchienne au Pont,http://www.bureausavini.be,4964010,Hainaut,,,,,,,150m²square meters,15m²square meters,Installed,12m²square meters,20m²square meters,,,1,Yes,No,,,Connected,Yes,,No,,,Yes,,,,,,,20m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149397,10149397,house,villa,399000,forsale,6230,l,installed,,asnew,fueloil,301,4,1044,true,,,true,,,1,2,,Hainaut,As new,4,1,Yes,4,2,,,Yes,301 kWh/m²kilowatt hour per square meters,D,20221002009448,Not specified,Not specified,"€ 399,000399000 €","€ 1,3551355 €",,Rue de Namur 3 6041- Gosselies,,,Hainaut,After signing the deed,,,,2,,290m²square meters,,Installed,,,,,2,Yes,,1044m²square meters,,Connected,Yes,,,,,Yes,,Fuel oil,Yes,,,2,,Yes,South West,,Yes,,"Living area (residential, urban or rural)",,,,,,,,,,Yes,,,,,,,,,Yes,South West,,,,,,,,,,,,,,,,,,,,Bugesim,,,,,,,,,,,,,,,,,,,,,
10155686,10155686,house,mixedusebuilding,210000,forsale,7170,l,,,justrenovated,gas,,0,0,true,true,,true,,,,,,Hainaut,Just renovated,2,,Yes,,2,Yes,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 210,000210000 €",,Yes,,,,Hainaut,Immediately,,,65 m,,Shop street,,,,,,,,2,Yes,,,,Connected,Yes,18m²square meters,,,,,,Gas,No,Non flood zone,,,,,,,Yes,,Mixed living area (accommodation &amp; economic activities),Yes,,,No,,,,,No,,No,,,,No,No,No,No,No,North West,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,Town-house,,,,,,,,,,,,,
10160609,10160609,house,house,200000,forsale,6044,l,,,good,,243,3,0,,,,,,,,,,Hainaut,Good,3,,,3,1,,,,243 kWh/m²kilowatt hour per square meters,C,20221007005681,45 kg CO₂/m²,37119 kWh/year,"€ 200,000200000 €",,No,Rue Winston Churchill 53 6180- Courcelles,,4970401,Hainaut,After signing the deed,,,,,,153m²square meters,33m²square meters,,13m²square meters,15m²square meters,15m²square meters,,1,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013070,10013070,house,house,90000,forsale,7390,l,,,torenovate,,888,3,335,true,true,,true,,,1,6,,Hainaut,To renovate,3,1,,3,1,Yes,,Yes,888 kWh/m²kilowatt hour per square meters,G,20220619004311,Not specified,100798 kWh/year,"Make an offer starting from€ 90,000Make an offer starting from90000 €",,No,Rue du onze novembre 25 7000- Mons,http://www.agence-aim.be,4812424,Hainaut,After signing the deed,,,,6,,120m²square meters,,,17m²square meters,25m²square meters,14m²square meters,1,1,Yes,,335m²square meters,,Connected,Yes,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094825,10094825,house,house,130000,forsale,7301,l,notinstalled,,good,gas,340,3,145,true,true,,,,,1,,,Hainaut,Good,2,1,,3,,Yes,,,340 kWh/m²kilowatt hour per square meters,D,20220823000589,Not specified,39358 kWh/year,"Make an offer starting from€ 130,000Make an offer starting from130000 €",€ 460460 €,No,"rue François Dorzée, 12 7300- BOUSSU",,,Hainaut,After signing the deed,,,,,,,,Not installed,,,,,,Yes,,145m²square meters,,Connected,,,,,,,,Gas,Yes,,,,,,,,,,"Living area (residential, urban or rural)",,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,No,,,Ornella MUTRI,,,,,,,,,,,,,,,,,,,,,
10052960,10052960,house,house,129000,forsale,6041,l,installed,,good,gas,429,3,90,true,true,,,,,1,,,Hainaut,Good,3,1,Yes,3,1,Yes,,,429 kWh/m²kilowatt hour per square meters,F,20150507013276,429 kg CO₂/m²,429 kWh/year,"€ 129,000129000 €",€ 425425 €,No,Rue de Namur 3 6041- Gosselies,,,Hainaut,After signing the deed,,,,,,,,Installed,,,,,2,Yes,No,90m²square meters,,Connected,Yes,,,,,Yes,,Gas,,,,,,,,,Yes,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429,BUGESIM,,,,,,,,,,,,,,,,,,,,,
9881623,9881623,house,house,149000,forsale,6043,l,installed,,tobedoneup,gas,440,3,990,true,true,630,,,,,,,Hainaut,To be done up,3,,Yes,3,,Yes,630m²square meters,,440 kWh/m²kilowatt hour per square meters,F,20220428013689,Not specified,Not specified,"€ 149,000149000 €",€ 490490 €,,Rue de Namur 3 6041- Gosselies,,,Hainaut,After signing the deed,,,,,,213m²square meters,,Installed,,,,,,Yes,,990m²square meters,,Connected,Yes,,,,,Yes,,Gas,Yes,,,,,,,,Yes,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bugesim,,,,,,,,,,,,,,,,,,,,,
10060344,10060344,house,mansion,149000,forsale,7110,l,,,tobedoneup,fueloil,461,3,339,true,true,,,,,,,,Hainaut,To be done up,3,,Yes,3,1,Yes,,,461 kWh/m²kilowatt hour per square meters,F,20220810010171,Not specified,Not specified,"€ 149,000149000 €",€ 634634 €,,Rue de la Gripagne 62 7110- Houdeng-Goegnies,,,Hainaut,After signing the deed,,,,,"Living area (residential, urban or rural)",,,,,,,,1,Yes,No,339m²square meters,,Connected,Yes,,,,,,,Fuel oil,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,LORENZO FARRUGGIO,,,,,,,,,,,,,,,,,,,,,
10072454,10072454,house,house,149000,forsale,6060,l,semiequipped,,tobedoneup,gas,883,3,105,true,true,,,,,1,,,Hainaut,To be done up,2,1,,3,1,Yes,,,883 kWh/m²kilowatt hour per square meters,G,G,Not specified,103441 kWh/year,"€ 149,000149000 €",€ 520520 €,No,Place de la Digue 13 6000- Charleroi,,4890659,Hainaut,Immediately,,,,,,75m²square meters,14m²square meters,Semi equipped,18m²square meters,7m²square meters,7m²square meters,1,1,Yes,No,105m²square meters,10.25 mmeters,Connected,Yes,,No,,,Yes,,Gas,Yes,Non flood zone,,,3m²square meters,,,,Yes,,,,,,,,75m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10045586,10045586,house,apartmentblock,179000,forsale,7712,l,semiequipped,,tobedoneup,electric,455,4,120,,true,,true,,,,,,Hainaut,To be done up,2,,Yes,4,4,Yes,,,455 kWh/m²kilowatt hour per square meters,F,20140516008790,23 kg CO₂/m²,14107 kWh/year,"€ 179,000179000 €",€ 562562 €,Yes,"rue des Cheminots, 18 7712- Herseaux",http://www.gm-Immobilier.be,4846019,Hainaut,After signing the deed,,,5.8 m,,,200m²square meters,,Semi equipped,,,,,,,No,120m²square meters,5.8 mmeters,Connected,No,12m²square meters,,,,Yes,No,Electric,,Non flood zone,,,,,,,,,"Living area (residential, urban or rural)",,No,,,,100m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
9931346,9931346,house,apartmentblock,180000,forsale,6030,l,,,good,gas,290,5,0,,,,true,,,,,,Hainaut,Good,3,,Yes,5,3,,,Yes,290 kWh/m²kilowatt hour per square meters,D,20220520001141,Not specified,24866 kWh/year,"Make an offer starting from€ 180,000Make an offer starting from180000 €",€ 839839 €,Yes,Rue de Beaumont 53 6030- Marchienne au Pont,http://www.bureausavini.be,4764598,Hainaut,,,,,,,205m²square meters,,,,,,3,3,,No,,,Connected,Yes,,,,,Yes,,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101409,10101409,house,townhouse,199000,forsale,6220,l,installed,,asnew,gas,432,2,0,true,true,335,true,,,1,,,Hainaut,As new,2,1,,2,1,Yes,335m²square meters,,432 kWh/m²kilowatt hour per square meters,F,20150225017192,Not specified,38115 kWh/year,"Make an offer starting from€ 199,000Make an offer starting from199000 €",€ 583583 €,No,Place de la Digue 13 6000- Charleroi,,4903090,Hainaut,After signing the deed,,,,,,75m²square meters,20m²square meters,Installed,15m²square meters,12m²square meters,,,2,Yes,No,,,Connected,Yes,20m²square meters,No,No,,Yes,No,Gas,Yes,Non flood zone,,,12m²square meters,,,,,,"Living area (residential, urban or rural)",,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10136807,10136807,house,countrycottage,199000,forsale,6464,l,usasemiequipped,,good,fueloil,581,4,1070,true,true,700,true,,,3,3,,Hainaut,Good,3,3,,4,1,Yes,700m²square meters,,581 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,124118 kWh/year,"Make an offer starting from€ 199,000Make an offer starting from199000 €",,No,Rue des Chartriers 2 7000- Mons,http://www.revimmo.be,4958188,Hainaut,After signing the deed,,,,3,,201m²square meters,47m²square meters,USA semi equipped,19m²square meters,20m²square meters,21m²square meters,,1,Yes,No,1070m²square meters,,,,30m²square meters,,,,,,Fuel oil,,,,,41m²square meters,,,,,17m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9668873,9668873,house,apartmentblock,200000,forsale,6181,l,installed,,good,gas,401,3,0,true,,,,true,,,,,Hainaut,Good,2,,,3,3,,,,401 kWh/m²kilowatt hour per square meters,E,20210724000197,Not specified,32948 kWh/year,"Make an offer starting from€ 200,000Make an offer starting from200000 €",,Yes,427 A chaussée de Thuin 6150- Anderlues,,4604838,Hainaut,Depending on the tenant,,,10.9 m,,Isolated,,103m²square meters,Installed,22m²square meters,12m²square meters,15m²square meters,,3,,No,,,Connected,No,,,,,,,Gas,Yes,,,,9m²square meters,,,,,,,,,30m²square meters,Yes,,104m²square meters,,,,,,,104m²square meters,,,,,,,,,,,,,,,,,,,CHARLEROI (grand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10088027,10088027,house,house,220000,forsale,7011,l,installed,,good,gas,405,3,0,,,,true,,,,,,Hainaut,Good,3,,,3,1,,,Yes,405 kWh/m²kilowatt hour per square meters,E,20220824011279,74 kg CO₂/m²,58336 kWh/year,"Make an offer starting from€ 220,000Make an offer starting from220000 €",€ 521521 €,No,Marché au lin 7 7800- Ath,http://www.immodesgeants.be,4894077,Hainaut,,,,,,"Living area (residential, urban or rural)",144m²square meters,,Installed,,,,,,,,,,Connected,Yes,,No,No,,Yes,No,Gas,Yes,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
