,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Available date,Neighbourhood or locality,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement,Attic,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Terrace surface,Elevator,Accessible for disabled people,Intercom,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Price,Tenement building,Address,Website,External reference,Province,Armored door,Width of the lot on the street,TV cable,Double glazing,Total ground floor buildable,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Cadastral income,Bedroom 4 surface,Living room,Terrace,Planning permission obtained,Bedroom 5 surface,Secure access / alarm,Professional space surface,Conformity certification for fuel tanks,Subdivision permit,As built plan,How many fireplaces?,Garden orientation,Basement surface,Attic surface,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Visio phone,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Professional space,Isolated,Type of building,Terrace orientation,Air conditioning,Jacuzzi,Sauna,Internet,E-level (overall energy performance),Monthly charges,Property name,Agent's name,Current monthly revenue,Garden,Obligation to build,Number of annexes,Venue of the sale,Single session,Terms of visit,Starting price,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Percentage rented,Extra information,EPC description,Age of annuitant
10047374,10047374,house,apartmentblock,1100000,forsale,1000,xl,usahyperequipped,1890,asnew,,155,2,86,true,true,,true,true,,,,,Brussels,After signing the deed,September 8 2022 - 12:00 AM,,1890,As new,6.5 m,2,,,,,325m²square meters,48m²square meters,Yes,USA hyper equipped,12m²square meters,2,18m²square meters,20m²square meters,,1,1,3,15m²square meters,Yes,Yes,Yes,No,86m²square meters,Connected,Yes,,86m²square meters,No,No,Yes,No,155 kWh/m²kilowatt hour per square meters,D,D+,30 kg CO₂/m²,Not specified,,"€ 1,100,0001100000 €",Yes,Chaussée d'Alsemberg 528 1180- Uccle,,4862371,Brussels,,,Yes,Yes,325m²square meters,No,No,,Residential area with cultural historical aesthetic value,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10111105,10111105,house,house,1290000,forsale,1170,xl,,1918,good,gas,303,5,190,,true,40,true,,,1,,,Brussels,To be defined,,,1918,Good,,2,1,,,,304m²square meters,24m²square meters,Yes,,17m²square meters,5,33m²square meters,33m²square meters,17m²square meters,1,2,,,No,,,No,190m²square meters,Connected,No,40m²square meters,,,,,,303 kWh/m²kilowatt hour per square meters,F,20220512-0000612398-01-2,60 kg CO₂/m²,Not specified,Gas,"€ 1,290,0001290000 €",No,Avenue Louise 404a 1050- Ixelles,http://www.barnes-brussels.com,6750356,Brussels,No,,,Yes,404m²square meters,No,No,,,"€ 2,2802280 €",13m²square meters,,Yes,,13m²square meters,,,No,No,No,1,,60m²square meters,,No,,No,No,No,No,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9909953,9909953,house,villa,1450000,forsale,1150,xl,,1959,good,gas,444,5,792,true,true,300,true,true,,1,3,,Brussels,After signing the deed,,,1959,Good,,4,1,3,,Link to the virtual visit,460m²square meters,44m²square meters,Yes,,25m²square meters,5,40m²square meters,35m²square meters,14m²square meters,1,1,4,7m²square meters,Yes,Yes,Yes,No,792m²square meters,Connected,Yes,300m²square meters,55m²square meters,No,No,Yes,No,444 kWh/m²kilowatt hour per square meters,G,Not specified,96 kg CO₂/m²,Not specified,Gas,"€ 1,450,0001450000 €",No,Chaussée de Waterloo 1382 1180- Uccle,http://www.victoire.be/,4758858,Brussels,,,Yes,Yes,460m²square meters,,,,,,14m²square meters,,,,11m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9926276,9926276,house,villa,2490000,forsale,1180,xl,usahyperequipped,2008,good,gas,229,6,1530,,true,,true,,,2,4,,Brussels,After signing the deed,,,2008,Good,,4,2,4,,,420m²square meters,70m²square meters,,USA hyper equipped,,6,36m²square meters,20m²square meters,20m²square meters,2,4,,,,Yes,,No,1530m²square meters,,,,40m²square meters,,,,,229 kWh/m²kilowatt hour per square meters,E,Not specified,45 kg CO₂/m²,Not specified,Gas,"€ 2,490,0002490000 €",No,Avenue Louise 367 1050- Ixelles,http://www.openthedoor.be,142 - 44,Brussels,,,,,,,,,,,20m²square meters,,,,20m²square meters,,,,,No,1,South West,,,,,,,,,,,,,,,,,,,,,,,,,,Philippe MATHY,,Yes,,,,,,,,,,,,,,,,,,
10057648,10057648,house,villa,1700000,forsale,1180,xl,usahyperequipped,1965,asnew,gas,184,4,1800,,,,true,,,2,4,,Brussels,After signing the deed,August 11 2022 - 12:00 AM,,1965,As new,,4,2,4,,,400m²square meters,,,USA hyper equipped,,4,20m²square meters,,,3,4,,,,,,,1800m²square meters,,,,,,,,,184 kWh/m²kilowatt hour per square meters,D,Not specified,184 kg CO₂/m²,Not specified,Gas,"€ 1,700,0001700000 €",No,Rue Darwin 56 1050- Ixelles,http://www.hamilton-estate.com,4847079,Brussels,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016298,10016298,house,mansion,2900000,forsale,1000,xl,,1933,good,gas,184,4,395,,,,true,true,,1,3,,Brussels,Immediately,,,1933,Good,,2,1,3,,,800m²square meters,,,,,4,26m²square meters,34m²square meters,26m²square meters,5,,4,35m²square meters,Yes,,,,395m²square meters,,,,,Yes,Yes,Yes,,184 kWh/m²kilowatt hour per square meters,D,202202020000604782015,37 kg CO₂/m²,Not specified,Gas,"€ 2,900,0002900000 €",No,Rue Darwin 56 1050- Ixelles,http://www.hamilton-estate.com,4731569,Brussels,Yes,,,Yes,,No,,,"Living area (residential, urban or rural)",,37m²square meters,,Yes,,,Yes,,,No,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9714672,9714672,house,villa,1400000,forsale,1180,xl,hyperequipped,1930,asnew,gas,362,3,516,,true,125,true,true,,,2,,Brussels,After signing the deed,,,1930,As new,,4,,2,,Link to the virtual visit,350m²square meters,20m²square meters,Yes,Hyper equipped,27m²square meters,3,21m²square meters,16m²square meters,12m²square meters,1,3,,112m²square meters,Yes,Yes,,No,516m²square meters,Connected,Yes,125m²square meters,30m²square meters,No,No,Yes,No,362 kWh/m²kilowatt hour per square meters,G,201412120000261821-01-8,78 kg CO₂/m²,Not specified,Gas,"Make an offer starting from€ 1,400,000Make an offer starting from1400000 €",No,Chaussée de Waterloo 1382 1180- Uccle,http://www.victoire.be/,4630658,Brussels,,,Yes,,,No,No,,"Living area (residential, urban or rural)",,,,,,,Yes,112m²square meters,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9956329,9956329,house,house,3450000,forsale,1050,xl,,1928,tobedoneup,gas,326,6,1260,,true,,,true,,1,1,,Brussels,After signing the deed,,,1928,To be done up,,3,1,1,,,500m²square meters,45m²square meters,Yes,,34m²square meters,6,,,,4,,,13m²square meters,Yes,Yes,,No,1260m²square meters,Connected,No,,,No,No,No,No,326 kWh/m²kilowatt hour per square meters,F,20210913-0000595573-01-3,65 kg CO₂/m²,Not specified,Gas,"€ 3,450,0003450000 €",No,Avenue Louise 404a 1050- Ixelles,http://www.barnes-brussels.com,6177411,Brussels,No,,No,No,,,,,,"€ 9,6269626 €",,,,,,Yes,,No,,No,1,,,,Yes,,No,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9359216,9359216,house,house,3850000,forsale,1180,xl,installed,1949,tobedoneup,gas,373,6,2855,true,true,,true,true,,2,3,,Brussels,After signing the deed,,,1949,To be done up,,4,2,3,,Link to the virtual visit,500m²square meters,,,Installed,,6,35m²square meters,20m²square meters,20m²square meters,4,,,18m²square meters,Yes,Yes,Yes,No,2855m²square meters,Connected,Yes,,,No,No,Yes,No,373 kWh/m²kilowatt hour per square meters,G,20160603-0000320844-01,80 kg CO₂/m²,Not specified,Gas,"€ 3,850,0003850000 €",No,Avenue Louise 251 1050- Bruxelles,http://www.sothebysrealty.be/en/,3571011,Brussels,,,,Yes,777m²square meters,,,,,,18m²square meters,Yes,Yes,,25m²square meters,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9887758,9887758,house,villa,5100000,forsale,1180,xl,installed,1963,asnew,gas,,10,5561,true,true,,,true,true,8,,,Brussels,After signing the deed,,,1963,As new,,4,8,,,,1200m²square meters,,,Installed,,10,,,,10,,,,Yes,Yes,Yes,,5561m²square meters,Connected,Yes,,,No,,,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,"€ 5,100,0005100000 €",No,"Avenue Delleur, 8 1170- Watermael-Boitsfort",http://www.immo-lelion.be,030/27533,Brussels,,,Yes,,,,,,,"€ 14,83614836 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10142208,10142208,house,villa,1400000,forsale,1180,xl,semiequipped,1930,torenovate,gas,342,4,520,,true,300,true,true,,1,2,,Brussels,After signing the deed,,,1930,To renovate,,4,1,2,"Living area (residential, urban or rural)",,312m²square meters,55m²square meters,,Semi equipped,11m²square meters,4,205m²square meters,18m²square meters,12m²square meters,3,3,3,,Yes,Yes,,No,520m²square meters,Connected,Yes,300m²square meters,20m²square meters,No,No,Yes,No,342 kWh/m²kilowatt hour per square meters,F,Not specified,68 kg CO₂/m²,Not specified,Gas,"€ 1,400,0001400000 €",No,Rue Berkendael 19 1190- Vorst,http://www.lc-immo.be,4957900,Brussels,,,Yes,Yes,,,,Non flood zone,,,16m²square meters,,,,,,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159426,10159426,house,apartmentblock,780000,forsale,1030,xl,,1960,,gas,,0,0,,true,,,,,,,,Brussels,,,,1960,,,2,,,,,,,,,,,,,,,4,4,,,Yes,,No,,,Yes,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,"€ 780,000780000 €",Yes,Rue Alexandre Markelbach 78 1030- Schaarbeek,http://www.homeside.be,2124 - 1117,Brussels,,,,Yes,,,,,,"€ 1,7351735 €",,,,,,,,"Yes, conform",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,,,,,,,,,,,,,,,,,,,
10050654,10050654,house,villa,3500000,forsale,1180,xl,hyperequipped,2002,asnew,fueloil,,5,2500,,true,2500,true,true,true,3,3,,Brussels,After signing the deed,,,2002,As new,,4,3,3,"Living area (residential, urban or rural)",,870m²square meters,75m²square meters,Yes,Hyper equipped,,5,20m²square meters,20m²square meters,20m²square meters,2,1,4,33m²square meters,Yes,Yes,,No,2500m²square meters,Connected,Yes,2500m²square meters,,,,Yes,Yes,Not specified,Not specified,20160624-0000345166-02-1,275 kg CO₂/m²,Not specified,Fuel oil,"€ 3,500,0003500000 €",,Avenue Louise 207 1050- Ixelles,http://www.sogestimmo.be,,Brussels,Yes,,Yes,Yes,,,,,,"€ 10,44110441 €",20m²square meters,,Yes,,20m²square meters,Yes,,"Yes, conform",,,1,,,,Yes,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,Thomas de Wilde d'Estmael,,,,1,,,,,,,,,,,,,,,,
10136070,10136070,house,villa,2200000,forsale,1180,xl,hyperequipped,,good,electric,,5,1250,,,,true,,,2,2,,Brussels,After signing the deed,,,,Good,20 m,4,2,2,,,551m²square meters,,,Hyper equipped,,5,,,,,,,,,,,No,1250m²square meters,Connected,No,,50m²square meters,No,Yes,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,Electric,"€ 2,200,0002200000 €",No,Chaussée de Waterloo 1382 1180- Uccle,http://www.victoire.be/,4731956,Brussels,,,,Yes,729m²square meters,No,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164182,10164182,house,house,645000,forsale,1180,xl,,,torenovate,gas,,4,327,,true,,true,,,1,2,,Brussels,After signing the deed,,,,To renovate,,3,1,2,,,170m²square meters,25m²square meters,Yes,,5m²square meters,4,22m²square meters,14m²square meters,9m²square meters,1,1,2,,,Yes,,,327m²square meters,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,"€ 645,000645000 €",No,Chaussée de Charleroi 259 1060- ST-Gilles,,4971547,Brussels,,,,Yes,170m²square meters,,,,,,8m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159040,10159040,house,house,540000,forsale,1083,xl,usahyperequipped,2013,asnew,gas,,4,21,true,,1,true,,,2,,,Brussels,After signing the deed,,,2013,As new,,2,2,,Countryside,,,65m²square meters,Yes,USA hyper equipped,105m²square meters,4,12m²square meters,9m²square meters,,1,,2,,No,,,,21m²square meters,Connected,Yes,1m²square meter,1m²square meter,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,"€ 540,000540000 €",No,,,,Brussels,No,,Yes,Yes,,,,Non flood zone,,€ 945945 €,,,,,,No,,,,,1,,,25m²square meters,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,,,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
10154611,10154611,house,apartmentblock,1940000,forsale,1050,xl,,1912,good,gas,,5,0,,true,,true,,,1,,,Brussels,Depending on the tenant,,,1912,Good,6.3 m,2,1,,,,474m²square meters,20m²square meters,Yes,,5m²square meters,5,14m²square meters,14m²square meters,14m²square meters,5,,5,,,Yes,,No,,Connected,Yes,,,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,"€ 1,940,0001940000 €",Yes,Chaussée de Waterloo 1382 1180- Uccle,http://www.victoire.be/,4209511,Brussels,,6.3 mmeters,,Yes,535m²square meters,,,,,,14m²square meters,,Yes,Yes,14m²square meters,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150362,10150362,house,house,620000,forsale,1180,xl,installed,,,,,5,260,,,150,true,,,1,1,,Brussels,,,,,,,2,1,1,"Living area (residential, urban or rural)",,200m²square meters,50m²square meters,,Installed,,5,,,,1,1,3,,,,,No,260m²square meters,,,150m²square meters,20m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,"€ 620,000620000 €",No,Rue Des Carmélites 881180- Uccle,http://www.immofadan.be,15175JAMB,Brussels,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162366,10162366,house,house,1295000,forsale,1190,xl,,1906,,,236,6,170,,true,80,true,true,,,,,Brussels,,,,1906,,,,,,,,279m²square meters,,Yes,,,6,,,,2,,,,Yes,Yes,,No,170m²square meters,Not connected,Yes,80m²square meters,2m²square meters,,,,,236 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,,"€ 1,295,0001295000 €",No,Amerikaansestraat 179 1050- Elsene,http://www.bricx.be,,Brussels,No,,,Yes,,No,No,Non flood zone,Residential area with cultural historical aesthetic value,"€ 1,9431943 €",,Yes,,,,,,,No,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131906,10131906,house,house,360000,forsale,1020,xl,notinstalled,,,gas,424,4,124,,true,40,,,,,,,Brussels,After signing the deed,,,,,,2,,,,Link to the virtual visit,170m²square meters,28m²square meters,Yes,Not installed,10m²square meters,4,,,,,2,2,,,Yes,,No,124m²square meters,,Yes,40m²square meters,,,,,,424 kWh/m²kilowatt hour per square meters,G,20220509-0000612059-01-6,85 kg CO₂/m²,Not specified,Gas,"€ 360,000360000 €",No,Avenue de l'araucaria 59 1020- Laeken,http://www.trevi.be,231282 - BS,Brussels,,,,Yes,,,,,,"€ 1,2181218 €",,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114190,10114190,house,house,390000,forsale,1082,xl,installed,,asnew,gas,207,4,90,,true,,true,,,,,,Brussels,,April 1 2023 - 12:00 AM,,,As new,,2,,,,,110m²square meters,,Yes,Installed,6m²square meters,4,12m²square meters,13m²square meters,19m²square meters,2,2,3,,No,,,No,90m²square meters,,,,14m²square meters,No,No,Yes,No,207 kWh/m²kilowatt hour per square meters,D,20220620-0000311973-02-5,Not specified,Not specified,Gas,"€ 390,000390000 €",No,Avenue Général Mellier 20 5030- Gembloux,http://www.om-immo.be,spir2254,Brussels,,,No,Yes,,,,Non flood zone,"Living area (residential, urban or rural)",€ 726726 €,17m²square meters,Yes,,,,No,,No,,,,South East,14m²square meters,,No,,,,,,No,No,No,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,
10132455,10132455,house,house,469000,forsale,1030,xl,usahyperequipped,,asnew,fueloil,,3,60,true,true,,true,true,,,,,Brussels,To be defined,December 1 2022 - 12:00 AM,,,As new,5 m,2,,,,,229m²square meters,21m²square meters,,USA hyper equipped,14m²square meters,3,20m²square meters,20m²square meters,13m²square meters,1,1,2,,Yes,Yes,Yes,No,60m²square meters,,,,14m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,Fuel oil,"€ 469,000469000 €",No,Avenue Broqueville 1 1150- Woluwe-Saint-Pierre,http://www.macnash.com,4957674,Brussels,,,,Yes,45m²square meters,,,,,"€ 1,0231023 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108961,10108961,house,house,400000,forsale,1070,xl,semiequipped,,good,gas,181,4,192,,true,,,,,,,,Brussels,After signing the deed,,,,Good,,2,,,,,195m²square meters,7m²square meters,Yes,Semi equipped,9m²square meters,4,16m²square meters,14m²square meters,9m²square meters,3,2,3,,No,,,No,192m²square meters,,,,,No,No,Yes,No,181 kWh/m²kilowatt hour per square meters,D,20220902-0000619940-01-7,Not specified,Not specified,Gas,"€ 400,000400000 €",No,Avenue Général Mellier 20 5030- Gembloux,http://www.om-immo.be,spir2242,Brussels,,,No,Yes,,,,Non flood zone,"Living area (residential, urban or rural)","€ 1,4251425 €",17m²square meters,,,Yes,,No,,No,,,,South West,45m²square meters,,No,,,,,,No,No,No,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,
9964150,9964150,house,house,475000,forsale,1180,xl,installed,1969,torenovate,gas,389,3,219,true,true,,true,true,,1,1,,Brussels,After signing the deed,,,1969,To renovate,,2,1,1,,Link to the virtual visit,130m²square meters,18m²square meters,Yes,Installed,8m²square meters,3,8m²square meters,13m²square meters,13m²square meters,1,,2,7m²square meters,Yes,Yes,Yes,,219m²square meters,Connected,Yes,,8m²square meters,,,,,389 kWh/m²kilowatt hour per square meters,G,20220427-0000611214-01-03,78 kg CO₂/m²,Not specified,Gas,"€ 475,000475000 €",No,"Chaussée Bara, 148 1420- Braine L'Alleud",http://www.cap-sud.com,4794733,Brussels,,,Yes,Yes,,,,Non flood zone,,"€ 1,4741474 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137257,10137257,house,house,490000,forsale,1200,xl,semiequipped,1957,torenovate,gas,654,3,346,true,,,true,,,,,,Brussels,After signing the deed,,,1957,To renovate,,3,,,,,127m²square meters,26m²square meters,Yes,Semi equipped,5m²square meters,3,15m²square meters,12m²square meters,8m²square meters,1,,2,,,,Yes,,346m²square meters,,,,,,,,,654 kWh/m²kilowatt hour per square meters,G,20220823-0619208-01-7,131 kg CO₂/m²,Not specified,Gas,"Make an offer starting from€ 490,000Make an offer starting from490000 €",No,Koningin Astridlaan 237/1 1950- Kraainem,http://www.thebridge.be,4960351,Brussels,,,,,,,,,,"€ 1,4401440 €",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10124812,10124812,house,house,515000,forsale,1080,xl,hyperequipped,,asnew,gas,,3,76,,,24,true,,,,,,Brussels,,April 18 2022 - 12:00 AM,,,As new,,,,,,Link to the virtual visit,166m²square meters,30m²square meters,,Hyper equipped,8m²square meters,3,14m²square meters,11m²square meters,10m²square meters,,,3,,,,,No,76m²square meters,Connected,Yes,24m²square meters,22m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,"€ 515,000515000 €",No,Avenue Louise 251 (6ième étage) 1000- Bruxelles,http://www.real-lab.com,,Brussels,,,,Yes,,,,,,,,,,,,,,,,,,South East,,,No,,,,,,,,No,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10089185,10089185,house,exceptionalproperty,595000,forsale,1083,xl,hyperequipped,1962,good,gas,192,6,274,,true,160,true,,,1,1,,Brussels,After signing the deed,,,1962,Good,,2,1,1,,Link to the virtual visit,,,,Hyper equipped,10m²square meters,6,22m²square meters,18m²square meters,13m²square meters,1,,2,,,,,No,274m²square meters,,,160m²square meters,15m²square meters,,,,,192 kWh/m²kilowatt hour per square meters,D,Not specified,38 kg CO₂/m²,Not specified,Gas,"€ 595,000595000 €",No,Avenues Charles Quint 114 1083- Ganshoren,http://www.immobpc.be,1965 - BPC 4010,Brussels,,6.5 mmeters,,,,,,,,"€ 3,1253125 €",,,,,,Yes,,,,No,,,4m²square meters,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10124814,10124814,house,house,515000,forsale,1000,xl,hyperequipped,,asnew,gas,,3,76,,,24,true,,,,,,Brussels,,April 18 2022 - 12:00 AM,,,As new,,,,,,Link to the virtual visit,166m²square meters,30m²square meters,,Hyper equipped,8m²square meters,3,14m²square meters,11m²square meters,10m²square meters,,,3,,,,,No,76m²square meters,Connected,Yes,24m²square meters,22m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,"€ 515,000515000 €",No,Avenue Louise 251 (6ième étage) 1000- Bruxelles,http://www.real-lab.com,,Brussels,,,,Yes,,,,,,,,,,,,,,,,,,South East,,,No,,,,,,,,No,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087607,10087607,house,house,595000,forsale,1083,xl,hyperequipped,1962,good,gas,192,6,274,,true,160,true,,,1,1,,Brussels,After signing the deed,,,1962,Good,,2,1,1,,Link to the virtual visit,,,,Hyper equipped,10m²square meters,6,22m²square meters,18m²square meters,13m²square meters,1,,2,,,,,No,274m²square meters,,,160m²square meters,15m²square meters,,,,,192 kWh/m²kilowatt hour per square meters,D,20221005-000622205-01-1,38 kg CO₂/m²,Not specified,Gas,"€ 595,000595000 €",No,Avenues Charles Quint 114 1083- Ganshoren,http://www.immobpc.be,1880 - BPC 4010,Brussels,,6.5 mmeters,,,,,,,,"€ 3,1253125 €",,,,,,Yes,,,,No,,,4m²square meters,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9878596,9878596,house,apartmentblock,630000,forsale,1190,xl,semiequipped,1932,tobedoneup,gas,530,4,0,,true,,true,true,,,,,Brussels,Depending on the tenant,,,1932,To be done up,,2,,,Urban,,352m²square meters,17m²square meters,,Semi equipped,7m²square meters,4,20m²square meters,19m²square meters,19m²square meters,3,,4,7m²square meters,Yes,Yes,,No,,Connected,Yes,,7m²square meters,No,No,Yes,No,530 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,Not specified,Gas,"€ 630,000630000 €",Yes,Galgstraat 83 1600- St-Pieters-Leeuw,http://www.immopicke.be,4738074,Brussels,,,,,282m²square meters,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 1,7921792 €",16m²square meters,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10082904,10082904,house,house,685000,forsale,1070,xl,,1950,good,gas,343,3,348,,,250,true,,,,,,Brussels,,,,1950,Good,7 m,3,,,,,,,,,,3,,,,1,1,4,,No,,,,348m²square meters,Connected,Yes,250m²square meters,,No,No,No,No,343 kWh/m²kilowatt hour per square meters,F,20211126-0000600264-01-0,67 kg CO₂/m²,Not specified,Gas,"€ 685,000685000 €",No,,,,Brussels,No,11 mmeters,Yes,Yes,,,,Non flood zone,,"€ 2,3002300 €",,,Yes,,,Yes,,,,,1,South,,,No,,Yes,No,No,No,No,No,No,No,No,No,No,,All kind,,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
9889536,9889536,house,house,780000,forsale,1000,xl,,1968,good,gas,457,4,160,true,true,,true,true,,1,1,,Brussels,After signing the deed,,,1968,Good,10 m,2,1,1,,,270m²square meters,,,,,4,,,,1,,,,Yes,Yes,Yes,,160m²square meters,Connected,Yes,,,No,,,,457 kWh/m²kilowatt hour per square meters,G,20220908-0000620262-01-0,86 kg CO₂/m²,Not specified,Gas,"€ 780,000780000 €",No,"Avenue Delleur, 8 1170- Watermael-Boitsfort",http://www.immo-lelion.be,030/27675,Brussels,,,Yes,,,,,,,"€ 4,3104310 €",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9892011,9892011,house,house,780000,forsale,1050,xl,,1968,good,gas,457,4,160,,true,,true,true,,1,1,,Brussels,After signing the deed,,,1968,Good,10 m,2,1,1,,,270m²square meters,,,,,4,,,,1,,,,Yes,Yes,,,160m²square meters,Connected,Yes,,,No,,,,457 kWh/m²kilowatt hour per square meters,G,20220908-0000620262-01-0,86 kg CO₂/m²,Not specified,Gas,"€ 780,000780000 €",No,"Avenue Delleur, 8 1170- Watermael-Boitsfort",http://www.immo-lelion.be,030/27960,Brussels,,,Yes,,,,,,,"€ 4,3104310 €",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10070966,10070966,house,mixedusebuilding,699000,forsale,1020,xl,hyperequipped,1953,good,gas,166,4,0,,true,160,true,,,1,2,,Brussels,After signing the deed,,,1953,Good,,2,1,2,,Link to the virtual visit,317m²square meters,65m²square meters,Yes,Hyper equipped,12m²square meters,4,27m²square meters,21m²square meters,14m²square meters,1,,3,,,,,No,,,,160m²square meters,36m²square meters,,,,,166 kWh/m²kilowatt hour per square meters,D,Not specified,33 kg CO₂/m²,Not specified,Gas,"€ 699,000699000 €",Yes,Avenues Charles Quint 114 1083- Ganshoren,http://www.immobpc.be,1953 - BPC 3964,Brussels,Yes,,,Yes,,,,,,"€ 2,7682768 €",10m²square meters,,,,,Yes,,,,No,1,South,7m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
