,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
10157669,As new,3,,,4,1,Yes,,,220 kWh/m²kilowatt hour per square meters,C,20200205022406,42 kg CO₂/m²,51807 kWh/year,"Make an offer starting from€ 199,000Make an offer starting from199000 €",€ 654654 €,No,Route de Gozée 651/1 6110- Montigny-le-Tilleul,http://www.etimo.be,4962112,Hainaut,Depending on the tenant,April 1 2023 - 12:00 AM,,,,Isolated,150m²square meters,10m²square meters,Installed,20m²square meters,22m²square meters,18m²square meters,,2,Yes,No,280m²square meters,,,Yes,15m²square meters,No,,Yes,Yes,,Gas,Yes,,,,15m²square meters,,,,Yes,12m²square meters,,,,12m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165076,Good,3,,,2,1,,15m²square meters,,720 kWh/m²kilowatt hour per square meters,G,20221008001316,Not specified,Not specified,"€ 140,000140000 €",€ 416416 €,No,,,,Hainaut,After signing the deed,,1930,,,"Living area (residential, urban or rural)",133m²square meters,15m²square meters,USA uninstalled,15m²square meters,16m²square meters,,,,,,,,Connected,Yes,10m²square meters,No,No,No,Yes,No,,Yes,Non flood zone,,,20m²square meters,,North West,,Yes,,"Living area (residential, urban or rural)",Yes,No,,No,No,,No,,No,,No,15m²square meters,18m²square meters,,No,No,No,No,No,West,No,No,No,No,No,Yes,No,No,No,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10124210,To restore,2,,,2,1,,,,317 kWh/m²kilowatt hour per square meters,D,20220920000904,Not specified,33400 kWh/year,"Make an offer starting from€ 75,000Make an offer starting from75000 €",,No,Rue Grande 92 7330- Saint-Ghislain,https://www.era.be/fr/era-services,,Hainaut,,,,,,,90m²square meters,,,,,,,,,No,152m²square meters,,Connected,Yes,,,,,,,,No,Non flood zone,,,14m²square meters,,,,,,Another type of area,,No,,,,,No,,,,,,,,No,,,,,,,,,,,,No,No,No,No,,,,,,,No,,317,,,,,,,,,,,,,,,,,,,,,,
9953753,To renovate,2,,,2,1,,,,321 kWh/m²kilowatt hour per square meters,D,20181028009533,Not specified,31608 kWh/year,"Make an offer starting from€ 80,000Make an offer starting from80000 €",€ 575575 €,No,Rue des Chartriers 2 7000- Mons,http://www.revimmo.be,4788476,Hainaut,After signing the deed,,,2 m,,Urban,66m²square meters,19m²square meters,Semi equipped,10m²square meters,13m²square meters,,1,1,,No,12m²square meters,2 mmeters,Connected,No,,No,No,,Yes,No,Electric,Yes,Non flood zone,,,9m²square meters,,,,,,"Living area (residential, urban or rural)",,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101808,To restore,3,,,3,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 250,000250000 €",,No,"rue Saint-Martin, 5 7500- Tournai",http://www.relayimmo.be,3440 - 2024,Hainaut,After signing the deed,,2020,,,,196m²square meters,44m²square meters,,,,,,2,,No,396m²square meters,,,,,,,,,,,,,,,,Yes,North West,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kain Résidentiel,,,,,,,,,,,,,,,,,,,,,,,,,,
10142096,Good,4,1,,4,1,,,Yes,96333 kWh/m²kilowatt hour per square meters,G,20190715001714,24078 kg CO₂/m²,653 kWh/year,"€ 270,000270000 €",€ 604604 €,No,Rue de la Déportation 81 1480- Tubize,http://www.yakimmo.be,22072,Hainaut,,,1972,,1,"Living area (residential, urban or rural)",120m²square meters,33m²square meters,Installed,9m²square meters,10m²square meters,12m²square meters,,2,Yes,No,630m²square meters,,,,,,,,,,Fuel oil,Yes,Non flood zone,Link to the virtual visit,,,,,,,16m²square meters,"Living area (residential, urban or rural)",,,6m²square meters,Yes,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9328653,Good,4,2,Yes,5,2,Yes,12328m²square meters,,102 kWh/m²kilowatt hour per square meters,B,20210428002549,Not specified,60352 kWh/year,"Make an offer starting from€ 1,350,000Make an offer starting from1350000 €","€ 1,9541954 €",No,Grand Place 2 1470- Genappe,http://www.daloze.be,4329512,Hainaut,After signing the deed,,2009,30.29 m,5,Isolated,374m²square meters,,USA hyper equipped,,,,2,3,,No,12702m²square meters,65 mmeters,Not connected,No,100m²square meters,No,Yes,Yes,,Yes,,Yes,Non flood zone,,,,,,,,,"Living area (residential, urban or rural)",,No,,Yes,,635m²square meters,No,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,Mons,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10153024,Good,,,,3,,Yes,,,484 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,"€ 210,000210000 €",,No,Av. Delleur 17 1170- Watermael Boitsfort,http://www.cre.be,6323 - 446,Hainaut,After signing the deed,,,,6,,130m²square meters,31m²square meters,Semi equipped,,,,1,2,,No,800m²square meters,,,Yes,,,,,,,Gas,Yes,,,,,,,No,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9875246,To be done up,4,,,2,,Yes,383m²square meters,,1008 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,Not specified,"€ 20,00020000 €",€ 594594 €,No,Boulevard Audent 17 6000- Charleroi,http://www.lapropriete.be,11936 - 3268,Hainaut,,,1974,,,,114m²square meters,,,,,,1,1,,No,463m²square meters,,,Yes,,,,,,,Fuel oil,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148665,As new,3,1,,4,2,Yes,250m²square meters,,364 kWh/m²kilowatt hour per square meters,E,20220930000620,70 kg CO₂/m²,Not specified,"Make an offer starting from€ 275,000Make an offer starting from275000 €","€ 1,0001000 €",No,Route de Gozée 651/1 6110- Montigny-le-Tilleul,http://www.etimo.be,4964812,Hainaut,After signing the deed,,1980,,2,Isolated,185m²square meters,45m²square meters,Installed,18m²square meters,15m²square meters,13m²square meters,,3,,No,460m²square meters,,Connected,Yes,25m²square meters,,,,,,Gas,Yes,Non flood zone,,,18m²square meters,,,No,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145646,As new,4,1,,4,2,,550m²square meters,,262 kWh/m²kilowatt hour per square meters,D,20220621023692,69 kg CO₂/m²,57321 kWh/year,"€ 650,000650000 €","€ 1,1001100 €",No,Chaussée d'Asse 19 bus 2 7850- Enghien,,4963999,Hainaut,To be defined,,1999,14 m,2,Countryside,205m²square meters,37m²square meters,Hyper equipped,20m²square meters,18m²square meters,18m²square meters,2,2,,No,975m²square meters,23 mmeters,Connected,No,80m²square meters,,,Yes,Yes,Yes,Fuel oil,,Non flood zone,,,19m²square meters,,,,,10m²square meters,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031334,As new,3,,,3,1,,30m²square meters,,Not specified,B,Not specified,Not specified,Not specified,"€ 240,000240000 €",,No,,,,Hainaut,,September 1 2022 - 12:00 AM,2022,9 m,2,Fitted out,95m²square meters,16m²square meters,Hyper equipped,12m²square meters,12m²square meters,8m²square meters,1,2,,,160m²square meters,,Connected,Yes,8m²square meters,No,No,No,Yes,No,,Yes,,,,16m²square meters,,South,,Yes,,,Yes,Yes,8m²square meters,Yes,Yes,,,,Yes,Yes,Yes,,,,No,Yes,No,No,No,South,No,No,Yes,No,No,Yes,Yes,No,No,No,,,,,,,,,60,,,,,,,,,Villa,,,,,,,,,,,,,
10025718,To renovate,3,,,1,1,Yes,,,659 kWh/m²kilowatt hour per square meters,G,20200601006494,Not specified,118188 kWh/year,"Make an offer starting from€ 55,000Make an offer starting from55000 €",,No,Rue Grande 92 7330- Saint-Ghislain,https://www.era.be/fr/era-services,,Hainaut,,,,,,,179m²square meters,,,,,,,,,No,260m²square meters,,Connected,Yes,,,,,,,Wood,No,Non flood zone,,,,,,,Yes,,Another type of area,,No,,,,,No,,,,,,,,No,,,,,,,,,,,,No,No,No,No,,,,,,,No,,659,,,,,,,,,,,,,,,,,,,,,,
10124212,Good,2,,,2,1,,,,105 kWh/m²kilowatt hour per square meters,D,20220920000803,Not specified,33400 kWh/year,"Make an offer starting from€ 80,000Make an offer starting from80000 €",,No,Rue Grande 92 7330- Saint-Ghislain,https://www.era.be/fr/era-services,,Hainaut,,,,,,,90m²square meters,,,,,,,,,No,64m²square meters,,Connected,Yes,,,,,,,Pellet,Yes,Non flood zone,,,9m²square meters,,,,,,Another type of area,,No,,,,,No,,,,,,,,No,,,,,,,,,,,,No,No,No,No,,,,,,,No,,105,,,,,,,,,,,,,,,,,,,,,,
9644195,To renovate,2,,,2,1,Yes,164m²square meters,,549 kWh/m²kilowatt hour per square meters,G,20211125018296,100 kg CO₂/m²,72575 kWh/year,"Make an offer starting from€ 90,000Make an offer starting from90000 €",€ 612612 €,No,Rue des Chartriers 2 7000- Mons,http://www.revimmo.be,4589390,Hainaut,After signing the deed,,,,,Urban,116m²square meters,30m²square meters,Installed,11m²square meters,14m²square meters,,1,1,Yes,No,270m²square meters,,Not connected,Yes,15m²square meters,No,No,,Yes,No,Gas,,Non flood zone,,,9m²square meters,,,No,,,"Living area (residential, urban or rural)",,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9520887,Good,2,,Yes,2,1,Yes,,Yes,213 kWh/m²kilowatt hour per square meters,C,20210915027128,39 kg CO₂/m²,28457 kWh/year,"€ 100,000100000 €",€ 342342 €,No,Chaussée de Binche 30 b1 7000- Mons,http://www.time-immo.com,,Hainaut,To be defined,,1874,,,"Living area (residential, urban or rural)",120m²square meters,,Semi equipped,,,,,1,Yes,No,85m²square meters,,Connected,Yes,,,,,Yes,,Gas,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mehdi Moussafir,,,,,,,,,,,,,,,,,,,,,
10122572,To renovate,2,,,2,1,Yes,,,213 kWh/m²kilowatt hour per square meters,C,20160116003354,Not specified,25788 kWh/year,"€ 105,000105000 €",€ 455455 €,No,Place de la Digue 13 6000- Charleroi,,4932190,Hainaut,,,,,,Urban,120m²square meters,23m²square meters,Semi equipped,15m²square meters,18m²square meters,,,2,Yes,No,50m²square meters,,Connected,Yes,,,,,,,Gas,Yes,Non flood zone,,,20m²square meters,,,,,,,,,,,,52m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097021,Good,2,,,2,1,,,,323 kWh/m²kilowatt hour per square meters,D,20220902001391,Not specified,27163 kWh/year,"Make an offer starting from€ 125,000Make an offer starting from125000 €",€ 208208 €,No,Rue Joseph Dufrane 12 7080- Frameries,,4897304,Hainaut,After signing the deed,,,,,,80m²square meters,19m²square meters,Installed,15m²square meters,12m²square meters,,,1,,No,60m²square meters,,Connected,No,,No,No,,Yes,,Pellet,Yes,,,,8m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094281,Just renovated,3,2,,2,1,Yes,,Yes,336 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,32759 kWh/year,"Make an offer starting from€ 139,000Make an offer starting from139000 €",,No,7 rue de Namur 1400- Nivelles,,3791 - 2112,Hainaut,,,,,1,,135m²square meters,39m²square meters,USA installed,,,,,1,,No,125m²square meters,,,,,,,,,,Pellet,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023166,To be done up,3,1,,3,1,Yes,44m²square meters,,235 kWh/m²kilowatt hour per square meters,C,20220710000777,58 kg CO₂/m²,39869 kWh/year,"Make an offer starting from€ 135,000Make an offer starting from135000 €",€ 431431 €,No,Rue de la Croix 16 6042- Charleroi,,4842507,Hainaut,After signing the deed,,,,,Urban,110m²square meters,,Semi equipped,13m²square meters,10m²square meters,30m²square meters,1,1,Yes,No,208m²square meters,,Connected,No,20m²square meters,,,,,,Fuel oil,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hainaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9920609,As new,3,,,1,1,,,Yes,205 kWh/m²kilowatt hour per square meters,C,20181001015934,4636 kg CO₂/m²,25019 kWh/year,"Make an offer starting from€ 135,000Make an offer starting from135000 €",€ 260260 €,No,Rue de la Croix 16 6042- Charleroi,,4758329,Hainaut,After signing the deed,,,,1,Urban,100m²square meters,12m²square meters,Installed,12m²square meters,,,1,2,Yes,No,151m²square meters,,Connected,Yes,,,,,,,Gas,Yes,,,,13m²square meters,,,,,,,,,7m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025326,To be done up,2,,,4,1,Yes,,Yes,430 kWh/m²kilowatt hour per square meters,F,20150226011795,78 kg CO₂/m²,61619 kWh/year,"Make an offer starting from€ 149,000Make an offer starting from149000 €",€ 475475 €,No,Faubourg de Bruxelles 286 6041- Gosselies,http://www.century21.be/cocoonconcept,4844053,Hainaut,After signing the deed,,,,,,143m²square meters,18m²square meters,Semi equipped,12m²square meters,14m²square meters,10m²square meters,1,1,Yes,No,,,Connected,Yes,,No,No,,Yes,No,Gas,Yes,,,,5m²square meters,,,,Yes,14m²square meters,"Living area (residential, urban or rural)",,No,9m²square meters,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10136110,To renovate,3,1,,3,1,Yes,450m²square meters,,502 kWh/m²kilowatt hour per square meters,F,20220821001315,124 kg CO₂/m²,73552 kWh/year,"Make an offer starting from€ 165,000Make an offer starting from165000 €",€ 552552 €,No,Rue de la Croix 16 6042- Charleroi,,4959239,Hainaut,After signing the deed,,,,,Isolated,160m²square meters,35m²square meters,Not installed,15m²square meters,16m²square meters,42m²square meters,1,2,Yes,No,543m²square meters,,Connected,Yes,,,,,,,Fuel oil,,,,,17m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hainaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9710860,To be done up,4,1,,4,1,Yes,,,499 kWh/m²kilowatt hour per square meters,F,20210704007266,96 kg CO₂/m²,72574 kWh/year,"Make an offer starting from€ 175,000Make an offer starting from175000 €",€ 732732 €,No,Rue de la Croix 16 6042- Charleroi,,4626638,Hainaut,,,1919,,3,Urban,130m²square meters,9m²square meters,Installed,14m²square meters,9m²square meters,12m²square meters,1,1,,,380m²square meters,,Connected,No,60m²square meters,No,No,,Yes,No,Fuel oil,Yes,,,,12m²square meters,,,No,Yes,11m²square meters,"Living area (residential, urban or rural)",,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
9690575,To restore,4,,Yes,1,,,1m²square meter,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 185,000185000 €",€ 520520 €,No,,,,Hainaut,,,1900,24 m,,"Living area (residential, urban or rural)",320m²square meters,,Not installed,,,,1,1,Yes,No,1493m²square meters,80 mmeters,Connected,Yes,,No,No,No,Yes,No,Fuel oil,No,,,,,,,,Yes,,,,,,Yes,No,,,,No,Yes,Yes,,,,No,Yes,No,No,Yes,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
10065572,To be done up,2,1,,4,1,Yes,,Yes,324 kWh/m²kilowatt hour per square meters,D,20220817001499,81 kg CO₂/m²,56489 kWh/year,"Make an offer starting from€ 175,000Make an offer starting from175000 €",€ 406406 €,No,Faubourg de Bruxelles 286 6041- Gosselies,http://www.century21.be/cocoonconcept,4856295,Hainaut,To be defined,January 1 2023 - 12:00 AM,,,,,174m²square meters,17m²square meters,Installed,23m²square meters,13m²square meters,18m²square meters,1,1,Yes,No,217m²square meters,,Connected,No,,,,,,,Fuel oil,Yes,,,,11m²square meters,,,,Yes,10m²square meters,,,,7m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106989,To be done up,2,,Yes,3,1,Yes,100m²square meters,,Not specified,F,Not specified,Not specified,Not specified,"€ 195,000195000 €",€ 827827 €,No,,,,Hainaut,After signing the deed,,1955,6 m,,Urban,107m²square meters,,Installed,15m²square meters,15m²square meters,6m²square meters,,1,Yes,,200m²square meters,,Connected,Yes,9m²square meters,No,No,No,Yes,No,Fuel oil,Yes,Non flood zone,,,,,,,Yes,,,Yes,,,No,No,,,,No,Yes,No,,,,No,No,No,Yes,Yes,,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
