,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
10154042,,,,2,,239m²square meters,,Installed,,3,,,,,,,No,76m²square meters,,,No,No,207 kWh/m²kilowatt hour per square meters,C,20220915-0002674171-RES-2,Not specified,Not specified,,Gas,Yes,"€ 479,000479000 €",,No,Hubert d'Ydewallestraat 4/001 8730- Beernem,http://www.vastgoedwanneyn.be,TK/3187,West Flanders,4.64 m,,,Yes,,No,4.64 mmeters,,,No,No,No,Yes,No,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,,,,,,Connected,Yes,,76m²square meters,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046610,,,,3,,101m²square meters,,,12m²square meters,3,17m²square meters,10m²square meters,10m²square meters,1,1,10m²square meters,No,462m²square meters,,,,,657 kWh/m²kilowatt hour per square meters,F,20220730-0002649261-RES-1,Not specified,Not specified,,Gas,Yes,"€ 207,000207000 €",,No,Vredelaan 21 8820- Torhout,,TO22052,West Flanders,6 m,1,,,,No,12 mmeters,,,,,,,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,No,,70m²square meters,,,,,,28m²square meters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9705373,,,,2,,89m²square meters,,,,2,,,,1,1,,No,317m²square meters,,,,,960 kWh/m²kilowatt hour per square meters,F,20191028-0002212246-RES-1,Not specified,Not specified,,Electric,No,"€ 209,000209000 €",€ 299299 €,No,Hendrik Consciencelaan 16 8800- Roeselare,http://www.mvastgoed.be,TK/00097,West Flanders,5 m,,,Yes,,No,5 mmeters,211m²square meters,,,,,,,,,,,No,No,Non flood zone,,,,,,,,,,,Connected,Yes,,62m²square meters,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110469,,,,3,4,100m²square meters,,,,3,,,,2,1,,No,260m²square meters,,,,,184 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,Gas,Yes,"€ 265,000265000 €",,Yes,Gistelsesteenweg 291 8200- Sint Andries,http://www.bricx.be,BB/ADN/TK/0031,West Flanders,7 m,,,Yes,,No,10 mmeters,100m²square meters,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,17000,,,,,,,,,,,
10058131,,,,2,,160m²square meters,,Installed,11m²square meters,3,16m²square meters,18m²square meters,16m²square meters,1,1,45m²square meters,No,168m²square meters,,North,,,418 kWh/m²kilowatt hour per square meters,E,20140914-0001651566-00000007-55,Not specified,Not specified,"Yes, conform",,No,"€ 235,000235000 €",€ 706706 €,No,Langestraat 62 8620- Nieuwpoort,,NI22352,West Flanders,5.3 m,,,,,No,5.1 mmeters,72m²square meters,,,,,,,,,Yes,,No,No,Non flood zone,Residential area with cultural historical aesthetic value,,,,No,,,,,,Connected,Yes,,80m²square meters,,,,,,42m²square meters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10119069,,,,4,3,205m²square meters,,Installed,,5,,,,1,2,23m²square meters,No,614m²square meters,,,,,131 kWh/m²kilowatt hour per square meters,B,20210804-0002434239-RES-1,Not specified,Not specified,,,Yes,"€ 385,000385000 €",€ 460460 €,No,"Heuleplaats, 16 8501- Kortrijk",http://www.mvastgoed.be,M/06042,West Flanders,10.83 m,,,Yes,,No,10.83 mmeters,,,,,,,,,,,,,,,,,,,,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162495,,,,4,,326m²square meters,,,,8,,,,8,8,,,708m²square meters,,,,,253 kWh/m²kilowatt hour per square meters,C,253 kwh/m2 - C UC2689688,Not specified,Not specified,,Gas,Yes,"€ 465,000465000 €","€ 1,1681168 €",,Leopold 2 laan 83a 8670- Oostduinkerke,http://www.broker.be,,West Flanders,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Hans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013490,,,,3,,115m²square meters,,Installed,,3,,,,1,1,,No,105m²square meters,,,,,645 kWh/m²kilowatt hour per square meters,F,20220122-0000481160-RES-4,Not specified,Not specified,No,Fuel oil,Yes,"€ 146,500146500 €",,No,Vichteplaats 13 8570- Vichte,http://www.immovanparijs.be/nl/,1327 - 1649,West Flanders,,,,,,,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,Yes,No,,,,,,,Yes,,,,,,,,25m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10027589,,,,3,,101m²square meters,,Installed,10m²square meters,4,,,,1,2,5m²square meters,No,325m²square meters,,South,,,Not specified,Not specified,20220422-0002588505-RES-1,Not specified,Not specified,,Gas,Yes,"€ 269,000269000 €",€ 349349 €,No,Langestraat 62 8620- Nieuwpoort,,NI22240,West Flanders,5.3 m,,,,,No,6.37 mmeters,245m²square meters,,,,,,,,,,,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,81m²square meters,,,,,,26m²square meters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157663,,,,3,4,244m²square meters,,Installed,25m²square meters,5,20m²square meters,13m²square meters,12m²square meters,1,,,,614m²square meters,,,,,244 kWh/m²kilowatt hour per square meters,C,20220907-0002669300-RES-1,Not specified,Not specified,,Gas,Yes,"€ 349,000349000 €",€ 919919 €,No,Monnikeredestraat 11 8340- Damme,http://www.bonnevastgoed.be,4969417,West Flanders,,1,"Living area (residential, urban or rural)",,,,,,,,,,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,,,,10m²square meters,,,45m²square meters,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143439,,,,2,,142m²square meters,,Hyper equipped,,3,,,,1,,,,117m²square meters,,,,,178 kWh/m²kilowatt hour per square meters,B,20190518-0002159729-RES-1,Not specified,Not specified,,Gas,Yes,"€ 388,000388000 €",€ 610610 €,No,Monnikeredestraat 11 8340- Damme,http://www.bonnevastgoed.be,4962963,West Flanders,,,Urban,,,,,,,,,,Yes,,,,Yes,,No,No,Non flood zone,Residential area with cultural historical aesthetic value,,,,No,,,,,,Connected,Yes,,,,December 1 2022 - 12:00 AM,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092180,,,,3,,190m²square meters,,Installed,,3,,,,1,1,,No,1000m²square meters,Yes,South,No,No,721 kWh/m²kilowatt hour per square meters,F,20201206-0002347528-RES-1,Not specified,Not specified,,Gas,Yes,"€ 259,000259000 €",€ 552552 €,No,Hubert d'Ydewallestraat 4/001 8730- Beernem,http://www.vastgoedwanneyn.be,TK/3142,West Flanders,5.8 m,1,,Yes,,No,12 mmeters,,,No,No,No,Yes,No,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,,,,,,,Connected,Yes,,125m²square meters,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166008,,,,4,,,,,26m²square meters,5,15m²square meters,15m²square meters,14m²square meters,1,1,,No,2452m²square meters,Yes,East,,,553 kWh/m²kilowatt hour per square meters,F,20220126-0002533991-RES-1,Not specified,Not specified,,,Yes,"€ 349,000349000 €","€ 2,7712771 €",No,Vredelaan 21 8820- Torhout,,21609,West Flanders,10.12 m,1,,Yes,,No,24.38 mmeters,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,No,,,,,,Not connected,No,,,,,14m²square meters,10m²square meters,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143739,,,,3,,145m²square meters,,,,3,,,,1,2,,No,637m²square meters,,,,,264 kWh/m²kilowatt hour per square meters,C,2686014,Not specified,Not specified,,Gas,Yes,"€ 489,000489000 €",€ 528528 €,No,Driehoeksplein 1 8300- Knokke,http://www.deva.be,5406/DEVA,West Flanders,7 m,,,,,No,19 mmeters,,,,,,,,,,,,,,,,,,,,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146446,,,,3,2,140m²square meters,,,,4,,,,1,2,,,370m²square meters,,South West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 282,000282000 €",,No,,,,West Flanders,7 m,,,Yes,No,No,,80m²square meters,,,,,,,,No,,,,,Non flood zone,,Yes,Yes,,,,Yes,No,Yes,Yes,Connected,Yes,,,,,,,,,,No,No,,,,,No,No,No,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10116372,,,,2,,97m²square meters,,,,2,,,,1,1,,,148m²square meters,,,,,341 kWh/m²kilowatt hour per square meters,D,341 KWH of D UC : 2675005,Not specified,Not specified,,Gas,,"€ 120,000120000 €",€ 185185 €,,Leopold 2 laan 83a 8670- Oostduinkerke,http://www.broker.be,,West Flanders,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146044,,,,2,,161m²square meters,,USA hyper equipped,,3,,,,1,,,,340m²square meters,,,,,144 kWh/m²kilowatt hour per square meters,B,20220290-0002678782-RES-1,Not specified,Not specified,,Gas,Yes,"€ 519,000519000 €",,No,Monnikeredestraat 11 8340- Damme,http://www.bonnevastgoed.be,4964197,West Flanders,,,Isolated,,,Yes,,,,,,,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,,,,,,Connected,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024552,,,,4,,135m²square meters,,,15m²square meters,2,,,,,,,No,183m²square meters,Yes,South West,,,406 kWh/m²kilowatt hour per square meters,E,20220716-0002642110-RES-1,Not specified,Not specified,,,No,"€ 199,000199000 €",€ 158158 €,No,Marktstraat 20 b1 8460- Oudenburg,http://www.residentievastgoed.be,OU22502,West Flanders,16.11 m,,,,,No,16.11 mmeters,,,,,,,,,,,,No,No,Non flood zone,Farming area,,,,No,,,,,,Not connected,No,,135m²square meters,,,,,,14m²square meters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112921,,,,4,,165m²square meters,,Installed,,3,,,,1,2,,No,422m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 381,824381824 €",,Yes,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20411 - 3707,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
10112918,,,,4,,165m²square meters,,Installed,,3,,,,1,2,,No,422m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 381,824381824 €",,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20410 - 3707,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
9979857,,,,2,1,396m²square meters,,Installed,,5,,,,3,4,,No,533m²square meters,Yes,South West,No,No,151 kWh/m²kilowatt hour per square meters,B,20211018-0002477238-RES-1,Not specified,Not specified,,Gas,Yes,"€ 750,000750000 €","€ 1,0021002 €",No,Komvest 1 8000- Brugge,http://www.llvastgoed.be,22665,West Flanders,,1,,Yes,,Yes,,,,No,No,No,Yes,No,,,Yes,,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,Yes,No,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161191,,,,4,,146m²square meters,,,,3,,,,1,,,,2800m²square meters,,,,,580 kWh/m²kilowatt hour per square meters,F,20220825-0002660666-RES-1,Not specified,Not specified,,Fuel oil,Yes,"€ 535,000535000 €",,No,Monnikeredestraat 11 8340- Damme,http://www.bonnevastgoed.be,4970920,West Flanders,,,Countryside,Yes,,,,,,,,,Yes,,,,Yes,,No,No,Non flood zone,Farming area,,Yes,Yes,No,,,,,,Connected,Yes,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138381,,,,4,4,157m²square meters,,Installed,,4,,,,1,,,,607m²square meters,,,,,300 kWh/m²kilowatt hour per square meters,C,20200821-0002306204-RES-1,Not specified,Not specified,,Gas,Yes,"€ 480,000480000 €",,No,Monnikeredestraat 11 8340- Damme,http://www.bonnevastgoed.be,4959445,West Flanders,,2,Urban,Yes,,Yes,,,,,,,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,Yes,No,,,,,,Connected,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10136943,,,,3,,173m²square meters,,,,4,,,,1,1,,No,274m²square meters,Yes,North West,,,411 kWh/m²kilowatt hour per square meters,E,20210922-0002466911-RES-1,Not specified,Not specified,No,,,"€ 239,000239000 €",€ 525525 €,No,Kortrijkstraat 58 9800- Deinze,http://www.excellent-vastgoed.be,3260 - VK22064,West Flanders,,1,,,,,,,,,,,,,,,Yes,,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10136956,,,,3,,173m²square meters,,,,4,,,,1,1,,No,274m²square meters,Yes,North West,,,411 kWh/m²kilowatt hour per square meters,E,20210922-0002466911-RES-1,Not specified,Not specified,No,,,"€ 239,000239000 €",€ 525525 €,No,Kortrijkstraat 58 9800- Deinze,http://www.excellent-vastgoed.be,3306 - VK22087,West Flanders,,1,,,,,,,,,,,,,,,Yes,,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9995181,,,,3,1,143m²square meters,,,10m²square meters,3,14m²square meters,13m²square meters,36m²square meters,1,2,,No,144m²square meters,,West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 282,250282250 €",,No,Dokter Honore Dewolfstraat 23 9700- Oudenaarde,http://www.nobels.be,3164729,West Flanders,6.25 m,,,,No,No,6.25 mmeters,68m²square meters,,,,,,,,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,,62m²square meters,,,,,,33m²square meters,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9995189,,,,3,1,143m²square meters,,,10m²square meters,3,14m²square meters,13m²square meters,36m²square meters,1,2,,No,146m²square meters,,West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 277,500277500 €",,No,Dokter Honore Dewolfstraat 23 9700- Oudenaarde,http://www.nobels.be,3164711,West Flanders,6.25 m,,,,No,No,6.25 mmeters,68m²square meters,,,,,,,,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,,62m²square meters,,,,,,33m²square meters,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9995188,,,,3,1,143m²square meters,,,10m²square meters,3,14m²square meters,13m²square meters,36m²square meters,1,2,,No,136m²square meters,,West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 285,500285500 €",,No,Dokter Honore Dewolfstraat 23 9700- Oudenaarde,http://www.nobels.be,3164733,West Flanders,6.25 m,,,,No,No,6.25 mmeters,68m²square meters,,,,,,,,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,,62m²square meters,,,,,,33m²square meters,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9995187,,,,3,1,143m²square meters,,,10m²square meters,3,14m²square meters,13m²square meters,36m²square meters,1,2,,No,131m²square meters,,West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 282,500282500 €",,No,Dokter Honore Dewolfstraat 23 9700- Oudenaarde,http://www.nobels.be,3164735,West Flanders,6.25 m,,,,No,No,6.25 mmeters,68m²square meters,,,,,,,,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,,62m²square meters,,,,,,33m²square meters,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9995185,,,,3,1,138m²square meters,,,10m²square meters,3,13m²square meters,12m²square meters,35m²square meters,1,2,,No,128m²square meters,,West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 294,500294500 €",,No,Dokter Honore Dewolfstraat 23 9700- Oudenaarde,http://www.nobels.be,3164743,West Flanders,6.25 m,,,,No,No,6.25 mmeters,68m²square meters,,,,,,,,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,,62m²square meters,,,,,,32m²square meters,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106762,,,,4,4,157m²square meters,,Installed,,4,,,,1,,,,607m²square meters,,,,,300 kWh/m²kilowatt hour per square meters,C,20200821-0002306204-RES-1,Not specified,Not specified,,Gas,Yes,"€ 480,000480000 €",,No,Monnikeredestraat 11 8340- Damme,http://www.bonnevastgoed.be,4928450,West Flanders,,2,Urban,Yes,,Yes,,,,,,,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,Yes,No,,,,,,Connected,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165165,,,,2,,144m²square meters,,,,4,,,,2,,,,148m²square meters,,,,,386 kWh/m²kilowatt hour per square meters,D,386 UC: 2025706,Not specified,Not specified,,,,"€ 250,000250000 €",€ 329329 €,,Leopold 2 laan 83a 8670- Oostduinkerke,http://www.broker.be,,West Flanders,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150501,,,,2,,195m²square meters,,,,3,,,,,2,,No,143m²square meters,,,,,388 kWh/m²kilowatt hour per square meters,D,20220126-0002530080-RES-1,Not specified,Not specified,,,Yes,"€ 180,000180000 €",€ 582582 €,No,Sint-Petrus en Paulusstraat 17 bus 1 8800- Rumbeke,http://www.futurimmo.be,TK/0163/2022,West Flanders,,,,Yes,,No,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,Yes,No,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160620,,,,2,,155m²square meters,,,,3,,,,1,,,,359m²square meters,,,,,241 kWh/m²kilowatt hour per square meters,C,1941126-1,Not specified,Not specified,,,Yes,"€ 249,000249000 €",€ 364364 €,No,Monnikeredestraat 11 8340- Damme,http://www.bonnevastgoed.be,4970813,West Flanders,,,"Living area (residential, urban or rural)",,,,,,,,,,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,,,,,,Connected,Yes,,,,December 1 2022 - 12:00 AM,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069563,,,,2,,94m²square meters,,,,,,,,,,,No,394m²square meters,,North West,,,698 kWh/m²kilowatt hour per square meters,F,20220719-0002641392,Not specified,Not specified,,,Yes,"€ 225,000225000 €",,No,Posterijstraat 61 8793- Waregem,http://www.opt-immo.be,Koolskampstraat 7 - Zwevezele,West Flanders,8.67 m,,,Yes,,No,,328m²square meters,,,,,,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,No,,,,,,Not connected,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9273802,,,,3,,140m²square meters,,,,3,,,,,,,No,385m²square meters,,,,,534 kWh/m²kilowatt hour per square meters,F,20210111-0002358309-RES-1,Not specified,Not specified,,,No,"€ 305,000305000 €",€ 302302 €,No,"Heuleplaats, 16 8501- Kortrijk",http://www.mvastgoed.be,M/05136,West Flanders,7.5 m,,,Yes,,No,7.5 mmeters,250m²square meters,,,,,,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10125988,,,,4,,197m²square meters,,Hyper equipped,,4,15m²square meters,12m²square meters,11m²square meters,1,2,,,841m²square meters,,,,,30 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,,,Yes,"€ 475,000475000 €",,No,Monnikeredestraat 11 8340- Damme,http://www.bonnevastgoed.be,4936114,West Flanders,,,,Yes,,,,,,,,,Yes,,,,,,No,No,,"Living area (residential, urban or rural)",,,,Yes,,,,,,Connected,Yes,,,,,10m²square meters,,,,,,,,,,,,Yes,,,Yes,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10165003,,,,2,,135m²square meters,,,,3,,,,,,,No,369m²square meters,,North East,,,521 kWh/m²kilowatt hour per square meters,F,2640266,Not specified,Not specified,,,Yes,"€ 210,000210000 €",,No,Noordlaan 51 8800- Roeselare,http://www.bricx.be,BR/ED/TK/0210,West Flanders,,1,,Yes,,No,,185m²square meters,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,No,,,,,,Not connected,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162371,,,,4,,,,,,,,,,1,1,,No,896m²square meters,,,,,905 kWh/m²kilowatt hour per square meters,F,2676002,Not specified,Not specified,,,No,"€ 220,000220000 €",,No,Eug. de Grootelaan 24 8650- Houthulst,http://www.zakenkantoortrybou.be,,West Flanders,9 m,,,Yes,,No,23 mmeters,,,,,,,,,,,,,No,Non flood zone,,,Yes,,,,,,,,Not connected,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9935109,,,,2,,195m²square meters,,,22m²square meters,4,,,,,,,No,340m²square meters,Yes,North West,,,Not specified,Not specified,20211129-0002498900-RES-2,Not specified,Not specified,,Gas,Yes,"€ 219,000219000 €",,No,Marktstraat 20 b1 8460- Oudenburg,http://www.residentievastgoed.be,16351,West Flanders,5.5 m,,,,,No,5.5 mmeters,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,No,,,,,,,,36m²square meters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130875,,,,2,,204m²square meters,,,,2,,,,2,3,,,94m²square meters,,,,,112 kWh/m²kilowatt hour per square meters,B,112 kwh - B UC2608840,Not specified,Not specified,,Gas,Yes,"€ 305,000305000 €",€ 902902 €,,Leopold 2 laan 83a 8670- Oostduinkerke,http://www.broker.be,,West Flanders,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9981688,,,,2,,180m²square meters,,,,3,,,,,,,,301m²square meters,,,,,583 kWh/m²kilowatt hour per square meters,F,2520200,Not specified,Not specified,,Gas,,"€ 205,000205000 €",€ 567567 €,,Leopold 2 laan 83a 8670- Oostduinkerke,http://www.broker.be,,West Flanders,,2,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043651,,,,2,,135m²square meters,,,,4,,,,1,,,,129m²square meters,,,,,775 kWh/m²kilowatt hour per square meters,F,775 KWH UC : 2638882,Not specified,Not specified,,Gas,Yes,"€ 210,000210000 €",€ 490490 €,,Leopold 2 laan 83a 8670- Oostduinkerke,http://www.broker.be,,West Flanders,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Bart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10006822,,,,2,,188m²square meters,,Installed,6m²square meters,2,,,,1,2,,No,85m²square meters,,,,,Not specified,Not specified,20211019-0002479974-RES-1,Not specified,Not specified,,,Yes,"€ 275,000275000 €",,No,Gistelsteenweg 294 8490- Jabbeke,,Blauwkasteelstraat bis,West Flanders,,,,,,No,,25m²square meters,,,,,,,,,Yes,,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,,,,,,,32m²square meters,,,No,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148186,,,,3,,,,Hyper equipped,,3,,,,1,2,,,582m²square meters,,,,,202 kWh/m²kilowatt hour per square meters,C,20220928-0002684802-RES-1,Not specified,Not specified,,,Yes,"€ 535,000535000 €",,No,Monnikeredestraat 11 8340- Damme,http://www.bonnevastgoed.be,4965822,West Flanders,,2,Isolated,,,Yes,,,,,,,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,No,,,,,,Connected,Yes,,,,December 1 2022 - 12:00 AM,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
