,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
10121041,To be defined,,1964,To be done up,4,6,"Living area (residential, urban or rural)",242m²square meters,38m²square meters,Installed,10m²square meters,3,15m²square meters,21m²square meters,1,,2,,,,1079m²square meters,Connected,No,,,,Yes,No,384 kWh/m²kilowatt hour per square meters,D,20220808-0002652486-RES-1,Not specified,Not specified,,Fuel oil,Yes,Yes,No,No,Recognized flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €",€ 881881 €,No,Stationsstraat 116 9120- Beveren,http://www.homevast.be,4866750,East Falnders,12.5 m,2,5m²square meters,,,,,,,,,,,Yes,,,,,10m²square meters,,,,,,,,,,,,,,,,,,19m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10086005,After signing the deed,,1970,To renovate,4,4,"Living area (residential, urban or rural)",200m²square meters,33m²square meters,Installed,25m²square meters,3,16m²square meters,13m²square meters,1,,2,,,No,896m²square meters,Connected,No,600m²square meters,No,No,Yes,No,605 kWh/m²kilowatt hour per square meters,F,2620562,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 458,000458000 €","€ 1,8931893 €",No,Baron de Gieylaan 73 9840- De Pinte,http://www.vastgoeddejonghe.be,4897725,East Falnders,11.5 m,2,14m²square meters,,,Yes,18 mmeters,20m²square meters,Yes,120m²square meters,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096251,After signing the deed,,1974,Good,3,3,Isolated,200m²square meters,,USA hyper equipped,,4,25m²square meters,10m²square meters,1,,2,,,No,559m²square meters,Not connected,No,,No,No,Yes,No,184 kWh/m²kilowatt hour per square meters,B,2656993,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 485,000485000 €","€ 1,6831683 €",No,Baron de Gieylaan 73 9840- De Pinte,http://www.vastgoeddejonghe.be,4903365,East Falnders,8 m,2,7m²square meters,,Yes,,12 mmeters,40m²square meters,Yes,300m²square meters,Link to the virtual visit,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10120233,To be defined,,2009,As new,3,2,,176m²square meters,,USA hyper equipped,,3,,,1,,2,,No,,427m²square meters,Connected,Yes,340m²square meters,No,No,Yes,No,119 kWh/m²kilowatt hour per square meters,B,20221006-0002690638-RES-1,Not specified,Not specified,"Yes, conform",Gas,Yes,Yes,Yes,No,Non flood zone,,"€ 465,000465000 €",€ 878878 €,No,,,,East Falnders,10 m,1,,,,Yes,,50m²square meters,Yes,,,,,,,Yes,No,Yes,,Yes,No,No,No,,South West,No,No,Yes,,,,No,,,,No,,No,South West,1,No,No,No,Yes,No,Yes,No,Yes,,,Yes,,,,,,,,,,,,,,,,
10079896,After signing the deed,,1967,Good,4,6,Countryside,300m²square meters,55m²square meters,Hyper equipped,,4,20m²square meters,20m²square meters,1,1,2,20m²square meters,Yes,No,6454m²square meters,Connected,No,400m²square meters,No,No,Yes,No,373 kWh/m²kilowatt hour per square meters,D,2662506,Not specified,Not specified,No,Fuel oil,Yes,No,No,No,Non flood zone,Farming area,"€ 865,000865000 €","€ 1,2101210 €",No,Baron de Gieylaan 73 9840- De Pinte,http://www.vastgoeddejonghe.be,4895335,East Falnders,13 m,2,20m²square meters,20m²square meters,Yes,Yes,84 mmeters,,Yes,185m²square meters,,,,,,Yes,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10085407,After signing the deed,,1957,Good,4,2,Countryside,300m²square meters,40m²square meters,USA hyper equipped,15m²square meters,3,14m²square meters,11m²square meters,1,1,2,,,No,2127m²square meters,Connected,Yes,1700m²square meters,No,No,Yes,No,313 kWh/m²kilowatt hour per square meters,D,1791986,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 650,000650000 €","€ 1,2001200 €",No,Baron de Gieylaan 73 9840- De Pinte,http://www.vastgoeddejonghe.be,4897688,East Falnders,6 m,1,14m²square meters,,Yes,Yes,18 mmeters,20m²square meters,Yes,300m²square meters,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10056716,After signing the deed,,1937,As new,4,5,"Living area (residential, urban or rural)",407m²square meters,,Hyper equipped,,3,,,2,1,3,,,,10458m²square meters,Connected,Yes,,,,,,453 kWh/m²kilowatt hour per square meters,E,20220810-0002647374-RES-2,Not specified,Not specified,No,Fuel oil,,No,No,No,Non flood zone,Park area,"€ 995,000995000 €","€ 2,3732373 €",,Nazarethstraat 6 9840- De Pinte,,,East Falnders,,3,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Cindy Peteryens,,,,,,,Luxury Home,,,,,,,,,,,
10004232,To be defined,,1966,As new,4,6,"Living area (residential, urban or rural)",188m²square meters,,Hyper equipped,30m²square meters,3,20m²square meters,20m²square meters,1,,2,,Yes,No,1547m²square meters,Connected,Yes,,,,Yes,,415 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,,,"Living area (residential, urban or rural)","€ 950,000950000 €","€ 1,2171217 €",,Lotenhullestraat 87 9800- Deinze,,,East Falnders,,6,35m²square meters,,,,,100m²square meters,Yes,,,,,,Astene,Yes,Yes,,10m²square meters,,,,Yes,,,,,,,,,,1,Yes,,,35m²square meters,,,1,,,,,,,,Yes,Vandeven &amp; Hellemans Vastgoed,,,,,,,,,,,,,,,,,,
10060601,After signing the deed,,2005,Good,2,4,,90m²square meters,45m²square meters,Semi equipped,,1,,,1,,,45m²square meters,Yes,,285m²square meters,,Yes,,,,,,391 kWh/m²kilowatt hour per square meters,D,20220224-0002552380-KNR-1,Not specified,Not specified,,Gas,,,,,Non flood zone,,"€ 249,000249000 €",€ 564564 €,No,Kerkstraat 61 9200- Dendermonde,http://www.altro-vastgoed.be,4857327,East Falnders,,,,,,,,,Yes,90m²square meters,Link to the virtual visit,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068360,After signing the deed,,2008,,4,2,,503m²square meters,,,,4,,,2,,3,,,No,2970m²square meters,,,,Yes,,,,Not specified,Not specified,42023-G2008/0036/EP06099/E554/D01/SD001,Not specified,Not specified,No,Fuel oil,,,,,,,"€ 1,935,0001935000 €",,No,Latemstraat 29 9830- sint-martens-latem,http://www.agencedemanet.be,562 - 1465,East Falnders,,2,,,Yes,,,40m²square meters,Yes,,,,"Yes, conform",,,,,,,,,,,Yes,South West,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145143,To be defined,April 1 2023 - 12:00 AM,1937,To renovate,2,7,Landscape,390m²square meters,,Installed,,3,,,1,,2,,,No,1476m²square meters,Connected,No,,,,,,812 kWh/m²kilowatt hour per square meters,F,20220725-0002645488-RES-1,Not specified,Not specified,,Fuel oil,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 375,000375000 €",,No,Oudenaardsesteenweg 441 9420- Erpe-Mere,,4963263,East Falnders,14 m,2,,,Yes,Yes,14 mmeters,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152114,To be defined,,,Good,2,,Urban,160m²square meters,31m²square meters,USA hyper equipped,26m²square meters,3,154m²square meters,16m²square meters,1,1,2,,,,160m²square meters,Connected,Yes,78m²square meters,No,No,Yes,No,365 kWh/m²kilowatt hour per square meters,D,20220909-0002671321-RES-1,Not specified,Not specified,,Gas,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 211,000211000 €",,No,Kerkstraat 61 9200- Dendermonde,http://www.altro-vastgoed.be,4958440,East Falnders,,,186m²square meters,,,Yes,4 mmeters,,Yes,,Link to the virtual visit,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144117,To be defined,,2011,As new,4,4,"Living area (residential, urban or rural)",,,Installed,27m²square meters,3,15m²square meters,11m²square meters,1,1,2,,No,,684m²square meters,Connected,Yes,420m²square meters,No,No,Yes,No,188 kWh/m²kilowatt hour per square meters,B,20160602-0001865986-1,70 kg CO₂/m²,Not specified,,Gas,Yes,No,No,,Non flood zone,,"€ 429,000429000 €",€ 608608 €,No,,,,East Falnders,,,20m²square meters,,,,,84m²square meters,Yes,,,,,,,,No,No,,Yes,No,No,No,,North,No,No,Yes,,No,,No,,,,No,,No,North,,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,
10144234,After signing the deed,,2002,Good,4,4,Urban,200m²square meters,35m²square meters,Installed,16m²square meters,3,12m²square meters,12m²square meters,2,1,2,,Yes,No,666m²square meters,Connected,Yes,300m²square meters,No,No,Yes,No,285 kWh/m²kilowatt hour per square meters,C,2670857,Not specified,Not specified,No,Gas,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 498,000498000 €",,No,Baron de Gieylaan 73 9840- De Pinte,http://www.vastgoeddejonghe.be,4963609,East Falnders,10 m,1,12m²square meters,,,Yes,16 mmeters,20m²square meters,Yes,180m²square meters,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9820550,After signing the deed,,1933,To renovate,2,,,145m²square meters,35m²square meters,Semi equipped,15m²square meters,3,20m²square meters,16m²square meters,1,,1,,,No,211m²square meters,,Yes,125m²square meters,,,Yes,,803 kWh/m²kilowatt hour per square meters,F,20211113-0002491641-RES-1,Not specified,Not specified,No,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 148,000148000 €",€ 240240 €,,Molenstraat 74 9300- Aalst,http://www.immovansande.be,,East Falnders,4 m,,10m²square meters,,,,4 mmeters,20m²square meters,,,,,,,,,,,,Yes,,,Yes,,South West,,,,,,,,,Yes,,,20m²square meters,,South West,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065750,After signing the deed,,1957,Good,3,5,Countryside,136m²square meters,,Installed,,3,,,1,1,,,,No,876m²square meters,Connected,Yes,876m²square meters,No,No,Yes,No,586 kWh/m²kilowatt hour per square meters,F,20200130-0002242294-RES-1,Not specified,Not specified,,Gas,,Yes,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 245,000245000 €",,No,Stationstraat 32 9400- Ninove,http://www.localsvastgoed.be,4854148,East Falnders,,1,,,Yes,Yes,10.93 mmeters,30m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
9903273,Immediately,,1960,Just renovated,4,,,286m²square meters,,,,4,,,2,,2,,Yes,No,442m²square meters,Connected,Yes,35m²square meters,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,,,,,,,"€ 265,000265000 €",,No,,,,East Falnders,9 m,,,,Yes,,,25m²square meters,No,,,,No,,,,No,Yes,,Yes,No,Yes,No,,,No,No,No,,,,No,1,,,Yes,,No,,,No,No,Yes,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,
10092643,After signing the deed,,2022,As new,4,3,Isolated,180m²square meters,,Hyper equipped,,3,,,1,,2,,Yes,No,754m²square meters,Connected,Yes,,No,,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 625,000625000 €",,No,Oudenaardsesteenweg 441 9420- Erpe-Mere,,4901525,East Falnders,9.5 m,,,,,,20 mmeters,,Yes,,,,,,,,,,,,,,,,,,,,,,20,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9876947,After signing the deed,,,Just renovated,2,1,"Living area (residential, urban or rural)",81m²square meters,,Installed,,2,,,1,,1,,Yes,,90m²square meters,Connected,Yes,,,,,,324 kWh/m²kilowatt hour per square meters,D,20201008-0002325139-RES-1,Not specified,Not specified,,Gas,,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 206,000206000 €",€ 312312 €,,Eikendreef 14 9080- Lochristi,http://www.refreshvastgoed.be,,East Falnders,,,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Yes,Refresh Vastgoedburo,,Yes,,,,,,,,,,,,,,,,
9951997,After signing the deed,,1918,Good,2,,,125m²square meters,28m²square meters,Installed,,3,,,1,,,,,No,104m²square meters,Connected,Yes,,,,,,401 kWh/m²kilowatt hour per square meters,D,2227171,Not specified,Not specified,,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 199,000199000 €",€ 389389 €,No,Markt 7 9140- Temse,http://www.erawonen.be,2019/419,East Falnders,5 m,,,,,,5 mmeters,,Yes,,,,,,,,,,40m²square meters,,,,,,,,,,,,401,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10067320,To be defined,,,To renovate,,,,160m²square meters,19m²square meters,Semi equipped,23m²square meters,4,15m²square meters,8m²square meters,,,1,,,No,737m²square meters,Connected,Yes,550m²square meters,,,,,551 kWh/m²kilowatt hour per square meters,F,20220911-0002671788-RES-1,Not specified,Not specified,,Fuel oil,Yes,,,,Non flood zone,"Living area (residential, urban or rural)","€ 199,000199000 €",€ 439439 €,No,Steenweg op Aalst 96 9620- Zottegem,http://www.immofrancois.be,,East Falnders,,1,10m²square meters,12m²square meters,Yes,Yes,,20m²square meters,Yes,,,,,,,,,No,,,,,,,South East,,,,,,,,,,,,,,South East,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
10104022,After signing the deed,,1930,To be done up,2,,,110m²square meters,26m²square meters,Semi equipped,12m²square meters,3,17m²square meters,10m²square meters,1,,1,,,No,410m²square meters,,No,230m²square meters,,,,,767 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,,Fuel oil,,,,,Non flood zone,,"€ 232,000232000 €",€ 500500 €,No,Kerkstraat 61 9200- Dendermonde,http://www.altro-vastgoed.be,4892548,East Falnders,,,10m²square meters,,Yes,,,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9749243,After signing the deed,,,To be done up,2,2,Urban,144m²square meters,32m²square meters,USA installed,25m²square meters,3,20m²square meters,16m²square meters,,,2,,,,249m²square meters,Connected,Yes,180m²square meters,,,Yes,,779 kWh/m²kilowatt hour per square meters,F,20220204-0002539384-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 263,000263000 €",,No,"Capucienenlaan, 1 9300- Aalst",,4637209,East Falnders,6.5 m,,6m²square meters,,Yes,Yes,5 mmeters,12m²square meters,,,,,,,Omgeving Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10075990,After signing the deed,,1957,Good,2,,"Living area (residential, urban or rural)",132m²square meters,34m²square meters,Installed,15m²square meters,4,17m²square meters,15m²square meters,1,,1,,,,158m²square meters,Connected,Yes,,,,Yes,,570 kWh/m²kilowatt hour per square meters,F,0002533564-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 229,000229000 €",€ 592592 €,No,Grote Baan 170 9310- Herdersem,,4893246,East Falnders,,,5m²square meters,,,Yes,,,Yes,,Link to the virtual visit,,,Yes,Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10124824,After signing the deed,,1930,Good,3,,,146m²square meters,,Installed,16m²square meters,4,,,1,,,,,No,135m²square meters,Not connected,Yes,,,,,,486 kWh/m²kilowatt hour per square meters,E,20220330-0002574179-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,Another type of area,"€ 265,000265000 €",€ 477477 €,No,Markt 7 9140- Temse,http://www.erawonen.be,2022/202,East Falnders,12 m,,,,,,15 mmeters,25m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,486,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10128635,After signing the deed,,,Just renovated,2,,Urban,190m²square meters,,Not installed,,4,,,1,,2,,,No,115m²square meters,Connected,Yes,,,,,,257 kWh/m²kilowatt hour per square meters,C,20211023-0002483153-RES-1,Not specified,Not specified,,Gas,Yes,,,No,,"Living area (residential, urban or rural)","€ 269,000269000 €",€ 547547 €,,Ten Bos 11 9100- Sint-Niklaas,,,East Falnders,,1,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Veerle Martens,,,,,,,,,,,,,,,,,,
9712081,After signing the deed,,1930,Good,2,,,170m²square meters,38m²square meters,Hyper equipped,25m²square meters,2,,,2,,,,,No,400m²square meters,Connected,Yes,,,,,,369 kWh/m²kilowatt hour per square meters,D,2450292-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,Farming area,"€ 269,000269000 €",€ 404404 €,No,Dorp 41 9290- Berlare,http://www.erawonen.be,2021/325,East Falnders,6 m,,,,,,6 mmeters,,Yes,,,,,,,,,,,,,,,,,,,,,,369,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
9937611,After signing the deed,,1936,To be done up,2,,,182m²square meters,,Installed,20m²square meters,4,,,1,,,,,No,218m²square meters,Not connected,Yes,130m²square meters,,,,,555 kWh/m²kilowatt hour per square meters,F,20210714-0002441979-RES-1,Not specified,Not specified,,Fuel oil,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 275,000275000 €",€ 317317 €,No,Markt 7 9140- Temse,http://www.erawonen.be,2022/090,East Falnders,6 m,,,,,,10 mmeters,,Yes,,,,"Yes, conform",,,,,,,,,,,,,,,,,,555,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
9742748,After signing the deed,,1958,To be done up,2,,,190m²square meters,34m²square meters,Installed,21m²square meters,4,,,2,,,,,No,265m²square meters,Not connected,Yes,,,,,,689 kWh/m²kilowatt hour per square meters,F,20220105-0002520947-RES-1,Not specified,Not specified,,Pellet,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 280,000280000 €",€ 498498 €,No,Markt 57A 9240- Zele,http://www.erawonen.be,2022/007,East Falnders,9 m,,,,,,9 mmeters,,Yes,,,,,,,,,,,,,,,,,,,,,,689,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10069749,After signing the deed,,1900,To be done up,3,2,Countryside,107m²square meters,23m²square meters,Installed,28m²square meters,5,17m²square meters,16m²square meters,1,,1,16m²square meters,Yes,,680m²square meters,Connected,,,,,Yes,,522 kWh/m²kilowatt hour per square meters,F,20220602-0002615367-RES-1,Not specified,Not specified,,Gas,Yes,No,No,,Non flood zone,,"€ 289,000289000 €",€ 233233 €,No,"Schoolstraat, 60 9950- WAARSCHOOT",,,East Falnders,,1,14m²square meters,15m²square meters,,,,,Yes,,Link to the virtual visit,8m²square meters,,Yes,,Yes,,,3m²square meters,Yes,,,,,,,,,,,,No,,Yes,,,,,,,,,,,No,,,,Thibo RYCKAERT,,,,,,,,,,,,,,,,,,
9879909,After signing the deed,,1959,To renovate,2,,,165m²square meters,,,,2,,,1,,2,,No,No,126m²square meters,,Yes,42m²square meters,,,,,770 kWh/m²kilowatt hour per square meters,F,20220215-0002546704-RES-1,Not specified,Not specified,,Gas,Yes,No,,,Non flood zone,,"€ 290,000290000 €",€ 733733 €,No,,,,East Falnders,,,,,Yes,Yes,,,No,,,,"Yes, not conform",,,Yes,,No,,Yes,No,No,No,,,,,,All kind,,,No,,Yes,,No,,No,,,,,,,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
10108375,After signing the deed,,1966,Good,2,1,,,,Installed,,5,,,1,,2,,,No,320m²square meters,Connected,Yes,,,,Yes,,788 kWh/m²kilowatt hour per square meters,F,20220902-0002661263,Not specified,Not specified,,Fuel oil,,,,,,,"€ 298,500298500 €",,,Markt 23 9960- Assenede,,,East Falnders,8 m,1,,,,Yes,,,Yes,,,,,,,,,,8m²square meters,,,,,,,,,,,,,,,Yes,,,,,,1,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
10124875,After signing the deed,,1930,Good,3,,,124m²square meters,32m²square meters,Installed,13m²square meters,3,,,1,,,,,No,298m²square meters,Not connected,Yes,232m²square meters,No,No,Yes,No,233 kWh/m²kilowatt hour per square meters,C,20220818-0002657943-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 299,000299000 €",€ 482482 €,No,Markt 57A 9240- Zele,http://www.erawonen.be,2022/425,East Falnders,5 m,,,,,,6 mmeters,,Yes,,,,,,,,No,,,,,,,,,,,,,,233,No,,,,,,No,,,,No,No,,No,No,No,,,,,,,,,,,,,,,,,,,,
9508843,After signing the deed,,1947,,2,,Urban,240m²square meters,,Installed,,3,14m²square meters,27m²square meters,1,1,3,,No,No,80m²square meters,,,,,,,,347 kWh/m²kilowatt hour per square meters,D,1107/00D000,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,Residential area with cultural historical aesthetic value,"€ 299,000299000 €","€ 1,2691269 €",No,Erembodegemstraat 9 9300- Aalst,,spir4149,East Falnders,,,,,,,,6m²square meters,Yes,,,,No,,,,,No,,,,,,,,,,,,No,,,1,,,,,,,,,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,
10124926,After signing the deed,,1974,Good,3,,,120m²square meters,38m²square meters,Hyper equipped,12m²square meters,2,,,1,,,,,No,365m²square meters,Connected,Yes,,,,,,270 kWh/m²kilowatt hour per square meters,C,2665497-RES-2,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 325,000325000 €",€ 914914 €,No,Gentse Baan 45A 9100- Sint-Niklaas,http://www.era.be/wonen,2022/461,East Falnders,6 m,,,,,,10 mmeters,,Yes,,,,,,,,,,,,,,,,,,,,Bungalow,,270,Yes,,,,,,No,,,,,,,No,Yes,No,,,,,,,,,,,,,,,,,,,,
10083613,After signing the deed,,1958,Good,3,,Isolated,210m²square meters,30m²square meters,Installed,11m²square meters,5,15m²square meters,15m²square meters,2,,2,,Yes,,359m²square meters,Connected,No,,,,Yes,,381 kWh/m²kilowatt hour per square meters,D,0002650743-RES-1,Not specified,Not specified,,Fuel oil,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 330,000330000 €",€ 780780 €,No,Grote Baan 170 9310- Herdersem,,4896287,East Falnders,,,14m²square meters,9m²square meters,,,,,Yes,,Link to the virtual visit,5m²square meters,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10066124,To be defined,,1961,Just renovated,3,4,Urban,130m²square meters,,Hyper equipped,,2,,,1,,2,,,,396m²square meters,Connected,Yes,,,,Yes,,344 kWh/m²kilowatt hour per square meters,D,0002089600-RES-2,Not specified,Not specified,,Gas,Yes,,No,No,Non flood zone,,"€ 349,000349000 €",€ 785785 €,No,Mechelsesteenweg 123 bus 1 9200- Dendermonde,http://www.immotijl.be,4874292,East Falnders,,1,,,,Yes,,,Yes,,Link to the virtual visit,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
